"",BBFN1.M.DE.N.1.A.ID.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ID.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:00,
1994-07,0.393,
1994-08,0.387,
1994-09,0.397,
1994-10,0.435,
1994-11,0.461,
1994-12,0.458,
1995-01,0.545,
1995-02,0.532,
1995-03,0.525,
1995-04,0.437,
1995-05,0.459,
1995-06,0.444,
1995-07,0.437,
1995-08,0.448,
1995-09,0.494,
1995-10,0.481,
1995-11,0.499,
1995-12,0.502,
1996-01,0.470,
1996-02,0.473,
1996-03,0.492,
1996-04,0.524,
1996-05,0.504,
1996-06,0.531,
1996-07,0.529,
1996-08,0.541,
1996-09,0.522,
1996-10,0.538,
1996-11,0.549,
1996-12,0.570,
1997-01,0.561,
1997-02,0.584,
1997-03,0.596,
1997-04,0.601,
1997-05,0.613,
1997-06,0.669,
1997-07,0.685,
1997-08,0.667,
1997-09,0.663,
1997-10,0.675,
1997-11,0.660,
1997-12,0.647,
1998-01,0.662,
1998-02,0.753,
1998-03,0.680,
1998-04,0.640,
1998-05,0.647,
1998-06,0.646,
1998-07,0.660,
1998-08,0.659,
1998-09,0.657,
1998-10,0.689,
1998-11,0.691,
1998-12,0.744,
1999-01,0.751,
1999-02,0.785,
1999-03,0.780,
1999-04,0.634,
1999-05,0.807,
1999-06,0.742,
1999-07,0.743,
1999-08,0.739,
1999-09,0.712,
1999-10,0.758,
1999-11,0.753,
1999-12,0.747,
2000-01,0.749,
2000-02,0.778,
2000-03,0.779,
2000-04,0.770,
2000-05,0.772,
2000-06,0.474,
2000-07,0.488,
2000-08,0.509,
2000-09,0.485,
2000-10,0.492,
2000-11,0.496,
2000-12,0.562,
2001-01,0.492,
2001-02,0.502,
2001-03,0.487,
2001-04,0.507,
2001-05,0.483,
2001-06,0.638,
2001-07,0.514,
2001-08,0.506,
2001-09,0.606,
2001-10,0.616,
2001-11,0.595,
2001-12,0.531,
2002-01,0.396,
2002-02,0.415,
2002-03,0.483,
2002-04,0.502,
2002-05,0.504,
2002-06,0.506,
2002-07,0.509,
2002-08,0.521,
2002-09,0.495,
2002-10,0.474,
2002-11,0.509,
2002-12,0.477,
2003-01,0.451,
2003-02,0.420,
2003-03,0.332,
2003-04,0.343,
2003-05,0.357,
2003-06,0.307,
2003-07,0.300,
2003-08,0.330,
2003-09,0.282,
2003-10,0.267,
2003-11,0.321,
2003-12,0.297,
2004-01,0.295,
2004-02,0.307,
2004-03,0.279,
2004-04,0.285,
2004-05,0.314,
2004-06,0.312,
2004-07,0.281,
2004-08,0.290,
2004-09,0.293,
2004-10,0.292,
2004-11,0.289,
2004-12,0.296,
2005-01,0.284,
2005-02,0.301,
2005-03,0.323,
2005-04,0.334,
2005-05,0.321,
2005-06,0.336,
2005-07,0.337,
2005-08,0.327,
2005-09,0.327,
2005-10,0.306,
2005-11,0.325,
2005-12,0.321,
2006-01,0.335,
2006-02,0.320,
2006-03,0.340,
2006-04,0.317,
2006-05,0.309,
2006-06,0.293,
2006-07,0.309,
2006-08,0.309,
2006-09,0.300,
2006-10,0.250,
2006-11,0.255,
2006-12,0.276,
2007-01,0.277,
2007-02,0.299,
2007-03,0.316,
2007-04,0.315,
2007-05,0.316,
2007-06,0.274,
2007-07,0.276,
2007-08,0.281,
2007-09,0.281,
2007-10,0.283,
2007-11,0.296,
2007-12,0.294,
2008-01,0.302,
2008-02,0.313,
2008-03,0.324,
2008-04,0.387,
2008-05,0.361,
2008-06,0.352,
2008-07,0.337,
2008-08,0.329,
2008-09,0.318,
2008-10,0.364,
2008-11,0.338,
2008-12,0.350,
2009-01,0.358,
2009-02,0.370,
2009-03,0.346,
2009-04,0.336,
2009-05,0.331,
2009-06,0.341,
2009-07,0.335,
2009-08,0.333,
2009-09,0.340,
2009-10,0.314,
2009-11,0.334,
2009-12,0.343,
2010-01,0.349,
2010-02,0.328,
2010-03,0.354,
2010-04,0.353,
2010-05,0.436,
2010-06,0.404,
2010-07,0.408,
2010-08,0.412,
2010-09,0.433,
2010-10,0.434,
2010-11,0.432,
2010-12,0.399,
2011-01,0.414,
2011-02,0.443,
2011-03,0.423,
2011-04,0.451,
2011-05,0.451,
2011-06,0.441,
2011-07,0.439,
2011-08,0.475,
2011-09,0.469,
2011-10,0.450,
2011-11,0.439,
2011-12,0.429,
2012-01,0.425,
2012-02,0.430,
2012-03,0.438,
2012-04,0.456,
2012-05,0.459,
2012-06,0.483,
2012-07,0.495,
2012-08,0.509,
2012-09,0.546,
2012-10,0.507,
2012-11,0.504,
2012-12,0.524,
2013-01,0.489,
2013-02,0.486,
2013-03,0.517,
2013-04,0.504,
2013-05,0.503,
2013-06,0.530,
2013-07,0.546,
2013-08,0.529,
2013-09,0.496,
2013-10,0.530,
2013-11,0.564,
2013-12,0.557,
2014-01,0.547,
2014-02,0.536,
2014-03,0.560,
2014-04,0.568,
2014-05,0.583,
2014-06,0.574,
2014-07,0.563,
2014-08,0.549,
2014-09,0.587,
2014-10,0.580,
2014-11,0.571,
2014-12,0.564,
