"",BBK01.OEAE12T,BBK01.OEAE12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:06,
2002-01,0.058,
2002-04,0.055,
2002-07,0.055,
2002-10,0.058,
2003-01,0.055,
2003-04,0.060,
2003-07,0.048,
2003-10,0.049,
2004-01,0.034,
2004-04,0.027,
2004-07,0.021,
2004-10,0.025,
2005-01,0.009,
2005-04,0.008,
2005-07,0.005,
2005-10,0.002,
2006-01,0.003,
2006-04,0.008,
2006-07,0.006,
2006-10,0.004,
2007-01,0.010,
2007-04,0.011,
2007-07,0.007,
2007-10,0.015,
2008-01,0.012,
2008-04,0.014,
2008-07,0.013,
2008-10,0.008,
2009-01,0.014,
2009-04,0.004,
2009-07,0.007,
2009-10,0.006,
2010-01,0.010,
2010-04,0.023,
2010-07,0.012,
2010-10,0.017,
2011-01,0.030,
2011-04,0.034,
2011-07,0.058,
2011-10,0.060,
2012-01,0.013,
2012-04,0.063,
2012-07,0.068,
2012-10,0.071,
2013-01,0.059,
2013-04,0.074,
2013-07,0.097,
2013-10,0.080,
2014-01,0.100,
2014-04,0.116,
2014-07,0.088,
