"",BBK01.OEHB08Q,BBK01.OEHB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:48,
2002-01,21.468,
2002-04,21.507,
2002-07,21.591,
2002-10,21.943,
2003-01,21.938,
2003-04,22.037,
2003-07,22.185,
2003-10,22.335,
2004-01,22.266,
2004-04,22.296,
2004-07,22.310,
2004-10,22.331,
2005-01,22.283,
2005-04,22.386,
2005-07,22.466,
2005-10,22.499,
2006-01,22.399,
2006-04,22.507,
2006-07,22.552,
2006-10,22.505,
2007-01,22.395,
2007-04,22.345,
2007-07,22.259,
2007-10,22.307,
2008-01,22.331,
2008-04,22.375,
2008-07,22.577,
2008-10,22.505,
2009-01,22.478,
2009-04,22.722,
2009-07,22.989,
2009-10,23.111,
2010-01,23.227,
2010-04,23.567,
2010-07,24.058,
2010-10,24.190,
2011-01,24.246,
2011-04,24.286,
2011-07,24.336,
2011-10,24.393,
2012-01,24.446,
2012-04,24.497,
2012-07,24.653,
2012-10,24.745,
2013-01,24.752,
2013-04,24.739,
2013-07,24.883,
2013-10,24.919,
2014-01,24.970,
2014-04,25.178,
2014-07,25.382,
