"",BBDE1.Q.DE.Y.LCA1.N2C000000.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.N2C000000.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Section C - Manufacturing / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:05,
1996-01,75.2,
1996-04,75.4,
1996-07,76.9,
1996-10,78.5,
1997-01,79.3,
1997-04,76.1,
1997-07,77.7,
1997-10,78.8,
1998-01,78.3,
1998-04,78.9,
1998-07,79.4,
1998-10,80.2,
1999-01,80.6,
1999-04,81.2,
1999-07,81.4,
1999-10,81.2,
2000-01,83.2,
2000-04,85.2,
2000-07,85.6,
2000-10,86.6,
2001-01,86.8,
2001-04,87.5,
2001-07,88.0,
2001-10,88.7,
2002-01,90.0,
2002-04,88.7,
2002-07,90.3,
2002-10,90.7,
2003-01,91.9,
2003-04,91.8,
2003-07,92.4,
2003-10,91.9,
2004-01,93.2,
2004-04,93.1,
2004-07,92.5,
2004-10,92.5,
2005-01,94.9,
2005-04,91.8,
2005-07,93.3,
2005-10,94.4,
2006-01,95.7,
2006-04,96.6,
2006-07,98.0,
2006-10,97.5,
2007-01,95.8,
2007-04,97.7,
2007-07,97.8,
2007-10,98.9,
2008-01,99.7,
2008-04,96.4,
2008-07,99.0,
2008-10,104.9,
2009-01,102.3,
2009-04,101.8,
2009-07,101.8,
2009-10,100.7,
2010-01,102.8,
2010-04,101.2,
2010-07,101.6,
2010-10,102.1,
2011-01,104.9,
2011-04,106.0,
2011-07,105.4,
2011-10,106.6,
2012-01,105.1,
2012-04,109.3,
2012-07,108.5,
2012-10,109.6,
2013-01,112.0,
2013-04,111.2,
2013-07,110.9,
2013-10,112.9,
2014-01,113.1,
2014-04,115.3,
2014-07,113.5,
