"",BBSF2.M.1.P.00000.AKT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:06,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,837,
1993-05,834,
1993-06,776,
1993-07,740,
1993-08,844,
1993-09,1023,
1993-10,1070,
1993-11,1304,
1993-12,1309,
1994-01,1408,
1994-02,1594,
1994-03,1474,
1994-04,1403,
1994-05,1380,
1994-06,1432,
1994-07,1575,
1994-08,1425,
1994-09,1517,
1994-10,1539,
1994-11,1372,
1994-12,1282,
1995-01,1169,
1995-02,1217,
1995-03,1318,
1995-04,1325,
1995-05,1315,
1995-06,1270,
1995-07,1303,
1995-08,1176,
1995-09,1194,
1995-10,1514,
1995-11,1282,
1995-12,1208,
1996-01,1006,
1996-02,1079,
1996-03,1028,
1996-04,1347,
1996-05,1491,
1996-06,1241,
1996-07,1272,
1996-08,1206,
1996-09,1274,
1996-10,1305,
1996-11,1083,
1996-12,1258,
1997-01,1729,
1997-02,1840,
1997-03,2065,
1997-04,1862,
1997-05,1988,
1997-06,1974,
1997-07,2033,
1997-08,2065,
1997-09,2932,
1997-10,3056,
1997-11,3217,
1997-12,3658,
1998-01,3225,
1998-02,2455,
1998-03,2556,
1998-04,2308,
1998-05,2600,
1998-06,2498,
1998-07,2629,
1998-08,2926,
1998-09,3775,
1998-10,4538,
1998-11,3871,
1998-12,3821,
1999-01,3631,
1999-02,3373,
1999-03,2782,
1999-04,2872,
1999-05,3660,
1999-06,3222,
1999-07,3812,
1999-08,3546,
1999-09,3768,
1999-10,4088,
1999-11,4272,
1999-12,4669,
2000-01,5648,
2000-02,6087,
2000-03,6783,
2000-04,8826,
2000-05,9741,
2000-06,7842,
2000-07,9784,
2000-08,8319,
2000-09,9676,
2000-10,10355,
2000-11,10801,
2000-12,10737,
2001-01,10524,
2001-02,10197,
2001-03,11158,
2001-04,10866,
2001-05,10138,
2001-06,9444,
2001-07,9969,
2001-08,9961,
2001-09,8417,
2001-10,9335,
2001-11,8101,
2001-12,7322,
2002-01,7301,
2002-02,7298,
2002-03,6874,
2002-04,7277,
2002-05,7084,
2002-06,6670,
2002-07,6953,
2002-08,5860,
2002-09,5508,
2002-10,4862,
2002-11,5317,
2002-12,4526,
2003-01,3836,
2003-02,3684,
2003-03,4068,
2003-04,5022,
2003-05,5300,
2003-06,5447,
2003-07,5027,
2003-08,5398,
2003-09,5892,
2003-10,5580,
2003-11,5318,
2003-12,5193,
2004-01,5762,
2004-02,4962,
2004-03,4583,
2004-04,4950,
2004-05,5461,
2004-06,4769,
2004-07,4968,
2004-08,4212,
2004-09,4362,
2004-10,4225,
2004-11,4299,
2004-12,3756,
2005-01,4683,
2005-02,3717,
2005-03,3766,
2005-04,3611,
2005-05,4261,
2005-06,4273,
2005-07,4073,
2005-08,4464,
2005-09,4449,
2005-10,4287,
2005-11,3640,
2005-12,3659,
2006-01,3716,
2006-02,3523,
2006-03,3110,
2006-04,2747,
2006-05,3889,
2006-06,3773,
2006-07,3652,
2006-08,3765,
2006-09,3580,
2006-10,3064,
2006-11,3254,
2006-12,3512,
2007-01,3900,
2007-02,3989,
2007-03,4105,
2007-04,4256,
2007-05,4679,
2007-06,4770,
2007-07,5499,
2007-08,5408,
2007-09,5746,
2007-10,5550,
2007-11,6086,
2007-12,5640,
2008-01,5323,
2008-02,5396,
2008-03,4789,
2008-04,5306,
2008-05,5767,
2008-06,5194,
2008-07,5285,
2008-08,5008,
2008-09,5111,
2008-10,5129,
2008-11,5019,
2008-12,4814,
2009-01,4776,
2009-02,4485,
2009-03,3693,
2009-04,4509,
2009-05,5144,
2009-06,4849,
2009-07,4294,
2009-08,4583,
2009-09,4208,
2009-10,4310,
2009-11,4436,
2009-12,4112,
2010-01,4325,
2010-02,4096,
2010-03,3925,
2010-04,3840,
2010-05,4187,
2010-06,4466,
2010-07,4612,
2010-08,5158,
2010-09,4752,
2010-10,3984,
2010-11,3914,
2010-12,3661,
2011-01,4079,
2011-02,4738,
2011-03,4310,
2011-04,4895,
2011-05,5214,
2011-06,5523,
2011-07,5027,
2011-08,5301,
2011-09,4616,
2011-10,4935,
2011-11,4661,
2011-12,4729,
2012-01,4906,
2012-02,5396,
2012-03,5449,
2012-04,5551,
2012-05,5823,
2012-06,5755,
2012-07,5521,
2012-08,5012,
2012-09,4902,
2012-10,5394,
2012-11,4836,
2012-12,4384,
2013-01,4511,
2013-02,4075,
2013-03,3989,
2013-04,4476,
2013-05,3923,
2013-06,4416,
2013-07,4802,
2013-08,4513,
2013-09,4293,
2013-10,4313,
2013-11,4291,
2013-12,4738,
2014-01,4124,
2014-02,4349,
2014-03,4556,
2014-04,4673,
2014-05,5228,
2014-06,4937,
2014-07,5113,
2014-08,4998,
2014-09,5552,
2014-10,5007,
2014-11,5425,
