"",BBK01.OEXB18V,BBK01.OEXB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:36,
2002-01,0.155,
2002-04,0.163,
2002-07,0.169,
2002-10,0.182,
2003-01,0.175,
2003-04,0.155,
2003-07,0.162,
2003-10,0.156,
2004-01,0.159,
2004-04,0.140,
2004-07,0.137,
2004-10,0.130,
2005-01,0.129,
2005-04,0.122,
2005-07,0.124,
2005-10,0.118,
2006-01,0.105,
2006-04,0.106,
2006-07,0.090,
2006-10,0.093,
2007-01,0.093,
2007-04,0.089,
2007-07,0.090,
2007-10,0.090,
2008-01,0.095,
2008-04,0.092,
2008-07,0.093,
2008-10,0.098,
2009-01,0.091,
2009-04,0.090,
2009-07,0.088,
2009-10,0.082,
2010-01,0.078,
2010-04,0.075,
2010-07,0.080,
2010-10,0.075,
2011-01,0.075,
2011-04,0.068,
2011-07,0.068,
2011-10,0.065,
2012-01,0.065,
2012-04,0.064,
2012-07,0.057,
2012-10,0.062,
2013-01,0.059,
2013-04,0.057,
2013-07,0.060,
2013-10,0.061,
2014-01,0.058,
2014-04,0.071,
2014-07,0.071,
