"",BBEX3.A.LRD.EUR.CA.AB.A04,BBEX3.A.LRD.EUR.CA.AB.A04_FLAGS
"",Exchange rates (comparable rates) for the euro in Liberia  / EUR 1 = LRD ... (selling),
unit,LRD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:00,
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,74.5417,
2007,85.8415,
2008,93.8989,
2009,96.9637,
2010,95.2544,
2011,101.8643,
2012,95.8956,
2013,104.2021,
2014,112.5679,
"","General: From December 2000 to December 2005, we have just information about middle rates for the US dollar and comparable rates for the euro.",
"","Source: Central Bank of Liberia, Monrovia",
"",Methodology: The comparable rates were calculated on the basis of the month-end rates for the US dollar in Liberia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
