"",BBFN1.M.DE.N.1.L.BR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:36,
1994-07,0.926,
1994-08,0.973,
1994-09,0.948,
1994-10,0.960,
1994-11,0.999,
1994-12,1.038,
1995-01,1.030,
1995-02,1.042,
1995-03,1.006,
1995-04,1.058,
1995-05,1.062,
1995-06,1.030,
1995-07,1.066,
1995-08,1.061,
1995-09,1.131,
1995-10,1.095,
1995-11,1.148,
1995-12,1.165,
1996-01,1.225,
1996-02,1.151,
1996-03,1.118,
1996-04,1.142,
1996-05,1.146,
1996-06,1.112,
1996-07,0.949,
1996-08,0.946,
1996-09,0.927,
1996-10,0.951,
1996-11,0.956,
1996-12,1.009,
1997-01,1.007,
1997-02,0.994,
1997-03,0.988,
1997-04,1.058,
1997-05,1.061,
1997-06,0.950,
1997-07,0.960,
1997-08,0.964,
1997-09,0.969,
1997-10,0.967,
1997-11,0.960,
1997-12,0.998,
1998-01,0.908,
1998-02,0.952,
1998-03,0.986,
1998-04,0.981,
1998-05,0.993,
1998-06,0.979,
1998-07,1.027,
1998-08,0.965,
1998-09,0.975,
1998-10,1.033,
1998-11,0.955,
1998-12,0.924,
1999-01,0.888,
1999-02,0.917,
1999-03,0.910,
1999-04,0.597,
1999-05,0.572,
1999-06,0.643,
1999-07,0.669,
1999-08,0.698,
1999-09,0.650,
1999-10,0.648,
1999-11,0.633,
1999-12,0.704,
2000-01,0.680,
2000-02,0.651,
2000-03,0.797,
2000-04,0.826,
2000-05,0.904,
2000-06,0.834,
2000-07,0.954,
2000-08,0.970,
2000-09,0.993,
2000-10,0.970,
2000-11,1.092,
2000-12,0.808,
2001-01,0.781,
2001-02,0.819,
2001-03,0.752,
2001-04,0.763,
2001-05,0.799,
2001-06,0.862,
2001-07,0.887,
2001-08,0.836,
2001-09,0.884,
2001-10,0.834,
2001-11,0.828,
2001-12,0.926,
2002-01,0.853,
2002-02,0.821,
2002-03,0.795,
2002-04,0.814,
2002-05,0.864,
2002-06,0.843,
2002-07,0.811,
2002-08,0.810,
2002-09,0.773,
2002-10,0.737,
2002-11,0.691,
2002-12,0.722,
2003-01,0.659,
2003-02,0.598,
2003-03,0.583,
2003-04,0.599,
2003-05,0.587,
2003-06,0.566,
2003-07,0.581,
2003-08,0.634,
2003-09,0.551,
2003-10,0.497,
2003-11,0.487,
2003-12,0.460,
2004-01,0.407,
2004-02,0.423,
2004-03,0.457,
2004-04,0.451,
2004-05,0.469,
2004-06,0.464,
2004-07,0.469,
2004-08,0.468,
2004-09,0.507,
2004-10,0.481,
2004-11,0.489,
2004-12,0.492,
2005-01,0.492,
2005-02,0.476,
2005-03,0.548,
2005-04,0.508,
2005-05,0.512,
2005-06,0.536,
2005-07,0.516,
2005-08,0.553,
2005-09,0.512,
2005-10,0.542,
2005-11,0.772,
2005-12,0.777,
2006-01,0.721,
2006-02,0.647,
2006-03,0.617,
2006-04,0.614,
2006-05,0.614,
2006-06,0.666,
2006-07,0.669,
2006-08,0.714,
2006-09,0.740,
2006-10,0.742,
2006-11,0.708,
2006-12,0.780,
2007-01,0.776,
2007-02,0.736,
2007-03,0.760,
2007-04,0.763,
2007-05,0.836,
2007-06,0.905,
2007-07,0.897,
2007-08,0.995,
2007-09,0.926,
2007-10,0.931,
2007-11,0.904,
2007-12,0.953,
2008-01,0.893,
2008-02,0.931,
2008-03,0.915,
2008-04,0.977,
2008-05,0.955,
2008-06,0.995,
2008-07,1.093,
2008-08,1.082,
2008-09,1.162,
2008-10,1.156,
2008-11,1.203,
2008-12,1.167,
2009-01,1.077,
2009-02,0.995,
2009-03,1.053,
2009-04,0.973,
2009-05,0.930,
2009-06,0.994,
2009-07,0.970,
2009-08,0.986,
2009-09,1.005,
2009-10,0.973,
2009-11,0.918,
2009-12,1.035,
2010-01,0.961,
2010-02,0.989,
2010-03,1.084,
2010-04,1.089,
2010-05,1.229,
2010-06,1.446,
2010-07,1.427,
2010-08,1.477,
2010-09,1.497,
2010-10,1.345,
2010-11,1.331,
2010-12,1.481,
2011-01,1.506,
2011-02,1.461,
2011-03,1.607,
2011-04,1.569,
2011-05,1.588,
2011-06,1.612,
2011-07,1.560,
2011-08,1.788,
2011-09,1.905,
2011-10,1.543,
2011-11,1.462,
2011-12,1.789,
2012-01,1.826,
2012-02,1.826,
2012-03,1.829,
2012-04,1.723,
2012-05,1.753,
2012-06,1.867,
2012-07,1.792,
2012-08,1.788,
2012-09,1.853,
2012-10,1.722,
2012-11,1.763,
2012-12,1.765,
2013-01,1.733,
2013-02,1.752,
2013-03,1.761,
2013-04,1.810,
2013-05,1.772,
2013-06,1.799,
2013-07,1.764,
2013-08,1.635,
2013-09,1.549,
2013-10,1.503,
2013-11,1.719,
2013-12,1.884,
2014-01,1.532,
2014-02,1.491,
2014-03,1.533,
2014-04,1.465,
2014-05,1.487,
2014-06,1.571,
2014-07,1.425,
2014-08,1.531,
2014-09,1.599,
2014-10,1.509,
2014-11,1.612,
2014-12,1.751,
