"",BBK01.OELL08L,BBK01.OELL08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:27,
2002-01,13.557,
2002-04,13.491,
2002-07,13.449,
2002-10,13.757,
2003-01,13.770,
2003-04,13.753,
2003-07,13.727,
2003-10,13.984,
2004-01,13.914,
2004-04,14.019,
2004-07,13.997,
2004-10,14.299,
2005-01,14.442,
2005-04,14.569,
2005-07,14.517,
2005-10,14.748,
2006-01,14.693,
2006-04,14.675,
2006-07,14.373,
2006-10,14.186,
2007-01,13.582,
2007-04,13.165,
2007-07,12.657,
2007-10,12.296,
2008-01,11.820,
2008-04,11.463,
2008-07,11.066,
2008-10,10.995,
2009-01,11.063,
2009-04,11.190,
2009-07,11.265,
2009-10,11.623,
2010-01,11.782,
2010-04,12.243,
2010-07,12.611,
2010-10,13.042,
2011-01,13.283,
2011-04,13.559,
2011-07,13.539,
2011-10,13.548,
2012-01,13.468,
2012-04,13.352,
2012-07,13.232,
2012-10,13.185,
2013-01,13.073,
2013-04,13.031,
2013-07,12.997,
2013-10,13.086,
2014-01,12.892,
2014-04,12.686,
2014-07,12.464,
