"",BBK01.OECI03G,BBK01.OECI03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:32,
2002-01,4.791,
2002-04,4.746,
2002-07,4.972,
2002-10,4.905,
2003-01,4.492,
2003-04,4.311,
2003-07,3.870,
2003-10,3.770,
2004-01,3.317,
2004-04,3.659,
2004-07,3.415,
2004-10,3.337,
2005-01,5.497,
2005-04,5.471,
2005-07,5.818,
2005-10,6.424,
2006-01,5.542,
2006-04,5.708,
2006-07,6.021,
2006-10,6.973,
2007-01,8.085,
2007-04,9.254,
2007-07,10.426,
2007-10,11.583,
2008-01,11.883,
2008-04,12.345,
2008-07,13.448,
2008-10,13.766,
2009-01,12.789,
2009-04,13.310,
2009-07,11.782,
2009-10,9.894,
2010-01,9.186,
2010-04,8.957,
2010-07,9.338,
2010-10,8.700,
2011-01,8.835,
2011-04,8.882,
2011-07,9.228,
2011-10,10.014,
2012-01,10.131,
2012-04,10.568,
2012-07,10.356,
2012-10,9.359,
2013-01,9.221,
2013-04,9.358,
2013-07,9.289,
2013-10,9.230,
2014-01,9.082,
2014-04,8.957,
2014-07,8.853,
