"",BBK01.BJ9071,BBK01.BJ9071_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty - Germany - state government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:52,
1991,-10085,
1992,-12164,
1993,-19308,
1994,-23156,
1995,-24185,
1996,-23293,
1997,-24103,
1998,-16113,
1999,-11358,
2000,-8842,
2001,-29532,
2002,-33376,
2003,-34548,
2004,-27474,
2005,-23043,
2006,-11570,
2007,2593,
2008,-1531,
2009,-19341,
2010,-20381,
2011,-13017,Provisional value
2012,-5658,Provisional value
2013,-2816,Provisional value
2014,-468,Provisional value
