"",BBFN1.M.DE.N.1.L.SA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:54,
1982-09,1.292,
1982-10,1.283,
1982-11,1.274,
1982-12,1.253,
1983-01,1.239,
1983-02,1.305,
1983-03,1.161,
1983-04,1.160,
1983-05,1.194,
1983-06,1.199,
1983-07,1.270,
1983-08,1.250,
1983-09,1.312,
1983-10,1.340,
1983-11,1.303,
1983-12,1.135,
1984-01,1.182,
1984-02,1.272,
1984-03,1.217,
1984-04,1.210,
1984-05,1.125,
1984-06,1.068,
1984-07,1.118,
1984-08,1.119,
1984-09,1.108,
1984-10,1.188,
1984-11,1.205,
1984-12,1.054,
1985-01,1.271,
1985-02,1.276,
1985-03,1.255,
1985-04,1.199,
1985-05,1.206,
1985-06,1.212,
1985-07,1.136,
1985-08,1.161,
1985-09,1.230,
1985-10,1.156,
1985-11,1.017,
1985-12,0.739,
1986-01,0.664,
1986-02,0.603,
1986-03,0.616,
1986-04,0.608,
1986-05,0.615,
1986-06,0.597,
1986-07,0.552,
1986-08,0.529,
1986-09,0.472,
1986-10,0.443,
1986-11,0.445,
1986-12,0.307,
1987-01,0.300,
1987-02,0.323,
1987-03,0.352,
1987-04,0.366,
1987-05,0.370,
1987-06,0.363,
1987-07,0.334,
1987-08,0.332,
1987-09,0.342,
1987-10,0.354,
1987-11,0.351,
1987-12,0.214,
1988-01,0.223,
1988-02,0.209,
1988-03,0.251,
1988-04,0.246,
1988-05,0.247,
1988-06,0.262,
1988-07,0.203,
1988-08,0.218,
1988-09,0.225,
1988-10,0.194,
1988-11,0.197,
1988-12,0.165,
1989-01,0.159,
1989-02,0.161,
1989-03,0.161,
1989-04,0.160,
1989-05,0.162,
1989-06,0.163,
1989-07,0.149,
1989-08,0.162,
1989-09,0.153,
1989-10,0.127,
1989-11,0.103,
1989-12,0.093,
1990-01,0.084,
1990-02,0.078,
1990-03,0.077,
1990-04,0.077,
1990-05,0.079,
1990-06,0.084,
1990-07,0.085,
1990-08,0.084,
1990-09,0.086,
1990-10,0.056,
1990-11,0.055,
1990-12,0.062,
1991-01,0.055,
1991-02,0.055,
1991-03,0.052,
1991-04,0.055,
1991-05,0.052,
1991-06,0.052,
1991-07,0.047,
1991-08,0.043,
1991-09,0.050,
1991-10,0.052,
1991-11,0.030,
1991-12,0.043,
1992-01,0.044,
1992-02,0.045,
1992-03,0.041,
1992-04,0.043,
1992-05,0.038,
1992-06,0.039,
1992-07,0.039,
1992-08,0.039,
1992-09,0.037,
1992-10,0.042,
1992-11,0.043,
1992-12,0.045,
1993-01,0.046,
1993-02,0.052,
1993-03,0.052,
1993-04,0.080,
1993-05,0.082,
1993-06,0.104,
1993-07,0.104,
1993-08,0.111,
1993-09,0.107,
1993-10,0.107,
1993-11,0.107,
1993-12,0.111,
1994-01,0.117,
1994-02,0.107,
1994-03,0.107,
1994-04,0.112,
1994-05,0.107,
1994-06,0.109,
1994-07,0.120,
1994-08,0.128,
1994-09,0.035,
1994-10,0.030,
1994-11,0.038,
1994-12,0.040,
1995-01,0.037,
1995-02,0.041,
1995-03,0.044,
1995-04,0.044,
1995-05,0.046,
1995-06,0.047,
1995-07,0.044,
1995-08,0.042,
1995-09,0.037,
1995-10,0.046,
1995-11,0.044,
1995-12,0.039,
1996-01,0.039,
1996-02,0.039,
1996-03,0.038,
1996-04,0.026,
1996-05,0.024,
1996-06,0.025,
1996-07,0.024,
1996-08,0.025,
1996-09,0.026,
1996-10,0.025,
1996-11,0.025,
1996-12,0.111,
1997-01,0.118,
1997-02,0.116,
1997-03,0.024,
1997-04,0.024,
1997-05,0.025,
1997-06,0.023,
1997-07,0.024,
1997-08,0.020,
1997-09,0.018,
1997-10,0.019,
1997-11,0.018,
1997-12,0.019,
1998-01,0.018,
1998-02,0.018,
1998-03,0.018,
1998-04,0.019,
1998-05,0.018,
1998-06,0.019,
1998-07,0.021,
1998-08,0.017,
1998-09,0.017,
1998-10,0.018,
1998-11,0.015,
1998-12,0.015,
1999-01,0.014,
1999-02,0.014,
1999-03,0.013,
1999-04,0.013,
1999-05,0.015,
1999-06,0.008,
1999-07,0.015,
1999-08,0.016,
1999-09,0.017,
1999-10,0.017,
1999-11,0.020,
1999-12,0.024,
2000-01,0.025,
2000-02,0.022,
2000-03,0.022,
2000-04,0.022,
2000-05,0.022,
2000-06,0.022,
2000-07,0.023,
2000-08,0.020,
2000-09,0.023,
2000-10,0.020,
2000-11,0.023,
2000-12,0.020,
2001-01,0.019,
2001-02,0.017,
2001-03,0.028,
2001-04,0.029,
2001-05,0.020,
