"",BBK01.CEHQQ2,BBK01.CEHQQ2_FLAGS
"",short-term time deposits (consolidated) debtor: All sectors                  creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:52,
1991-01,-0.2,
1991-04,-19.8,
1991-07,-9.9,
1991-10,19.4,
1992-01,-6.6,
1992-04,-16.5,
1992-07,-3.4,
1992-10,16.8,
1993-01,9.1,
1993-04,3.1,
1993-07,7.0,
1993-10,35.5,
1994-01,-24.7,
1994-04,-17.4,
1994-07,4.1,
1994-10,21.0,
1995-01,1.1,
1995-04,15.0,
1995-07,4.4,
1995-10,1.0,
1996-01,0.4,
1996-04,1.3,
1996-07,-5.1,
1996-10,17.0,
1997-01,9.6,
1997-04,-2.0,
1997-07,-0.5,
1997-10,21.7,
1998-01,-1.1,
1998-04,4.1,
1998-07,-2.9,
1998-10,46.9,
1999-01,-32.7,
1999-04,-14.9,
1999-07,16.2,
1999-10,12.5,
2000-01,-5.3,
2000-04,-5.7,
2000-07,24.6,
2000-10,11.4,
2001-01,14.7,
2001-04,-22.7,
2001-07,29.0,
2001-10,22.6,
2002-01,0.3,
2002-04,19.3,
2002-07,43.3,
2002-10,13.8,
2003-01,38.4,
2003-04,38.9,
2003-07,-28.4,
2003-10,25.3,
2004-01,12.3,
2004-04,21.8,
2004-07,-3.0,
2004-10,92.9,
2005-01,-1.5,
2005-04,-3.6,
2005-07,24.9,
2005-10,-6.8,
2006-01,41.5,
2006-04,24.6,
2006-07,0.4,
2006-10,-8.0,
2007-01,13.1,
2007-04,24.9,
2007-07,27.0,
2007-10,45.6,
2008-01,6.7,
2008-04,-20.5,
2008-07,29.1,
2008-10,-56.5,
2009-01,-51.0,
2009-04,-42.2,
2009-07,-54.2,
2009-10,61.3,
2010-01,-52.3,
2010-04,32.5,
2010-07,-8.8,
2010-10,-61.4,
2011-01,-35.9,
2011-04,43.3,
2011-07,46.7,
2011-10,-15.8,
2012-01,-22.3,
2012-04,9.5,
2012-07,-9.7,
2012-10,-39.5,
2013-01,24.6,
2013-04,31.3,
2013-07,-81.1,
2013-10,11.6,
2014-01,58.7,
