"",BBK01.OEAD38P,BBK01.OEAD38P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:11,
2002-01,0.108,
2002-04,0.105,
2002-07,0.102,
2002-10,0.103,
2003-01,0.102,
2003-04,0.100,
2003-07,0.094,
2003-10,0.094,
2004-01,0.097,
2004-04,0.093,
2004-07,0.092,
2004-10,0.092,
2005-01,0.086,
2005-04,0.085,
2005-07,0.082,
2005-10,0.080,
2006-01,0.080,
2006-04,0.080,
2006-07,0.081,
2006-10,0.084,
2007-01,0.089,
2007-04,0.096,
2007-07,0.098,
2007-10,0.103,
2008-01,0.101,
2008-04,0.119,
2008-07,0.117,
2008-10,0.116,
2009-01,0.105,
2009-04,0.102,
2009-07,0.097,
2009-10,0.095,
2010-01,0.093,
2010-04,0.092,
2010-07,0.094,
2010-10,0.090,
2011-01,0.085,
2011-04,0.086,
2011-07,0.086,
2011-10,0.089,
2012-01,0.086,
2012-04,0.093,
2012-07,0.092,
2012-10,0.091,
2013-01,0.089,
2013-04,0.087,
2013-07,0.085,
2013-10,0.084,
2014-01,0.077,
2014-04,0.075,
2014-07,0.076,
