"",BBFB1.Q.N.DE.FI.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:03,
1991-01,161.823,
1991-04,168.284,
1991-07,176.113,
1991-10,178.471,
1992-01,168.026,
1992-04,158.443,
1992-07,161.507,
1992-10,153.289,
1993-01,155.299,
1993-04,149.159,
1993-07,128.778,
1993-10,112.490,
1994-01,119.850,
1994-04,128.065,
1994-07,131.767,
1994-10,130.390,
1995-01,96.124,
1995-04,88.333,
1995-07,86.823,
1995-10,84.354,
1996-01,68.777,
1996-04,84.393,
1996-07,79.219,
1996-10,82.290,
1997-01,120.446,
1997-04,122.706,
1997-07,117.428,
1997-10,113.936,
1998-01,102.740,
1998-04,119.038,
1998-07,108.412,
1998-10,110.011,
1999-01,152.290,
1999-04,170.889,
1999-07,128.426,
1999-10,154.248,
2000-01,168.284,
2000-04,249.829,
2000-07,196.020,
2000-10,195.126,
2001-01,189.937,
2001-04,263.437,
2001-07,122.746,
2001-10,178.657,
2002-01,204.024,
2002-04,251.568,
2002-07,145.930,
2002-10,167.575,
2003-01,195.180,
2003-04,287.629,
2003-07,185.338,
2003-10,158.662,
2004-01,209.118,
2004-04,311.807,
2004-07,175.249,
2004-10,196.584,
2005-01,279.729,
2005-04,350.609,
2005-07,210.992,
2005-10,306.744,
2006-01,312.258,
2006-04,410.192,
2006-07,267.127,
2006-10,322.483,
2007-01,357.308,
2007-04,492.756,
2007-07,281.118,
2007-10,262.671,
2008-01,132.257,
2008-04,330.869,
2008-07,161.334,
2008-10,79.737,
2009-01,240.877,
2009-04,304.089,
2009-07,197.272,
2009-10,199.457,
2010-01,236.158,
2010-04,318.532,
2010-07,236.449,
2010-10,253.571,
2011-01,328.668,
2011-04,435.286,
2011-07,345.004,
2011-10,351.481,
2012-01,372.798,
2012-04,437.521,
2012-07,366.282,
2012-10,371.967,
2013-01,394.483,
2013-04,443.028,
2013-07,365.009,
2013-10,363.766,
2014-01,366.863,Provisional value
2014-04,447.805,Provisional value
2014-07,376.765,Provisional value
