"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:03,
1991-01,-0.076,
1991-04,0.117,
1991-07,-0.006,
1991-10,-0.053,
1992-01,0.120,
1992-04,0.003,
1992-07,-0.066,
1992-10,0.033,
1993-01,-0.046,
1993-04,-0.302,
1993-07,0.074,
1993-10,-0.100,
1994-01,-4.701,
1994-04,-0.233,
1994-07,13.638,
1994-10,-0.439,
1995-01,-0.214,
1995-04,-0.001,
1995-07,11.209,
1995-10,0.112,
1996-01,-6.242,
1996-04,1.338,
1996-07,14.623,
1996-10,-4.910,
1997-01,-4.584,
1997-04,-6.366,
1997-07,-5.014,
1997-10,-6.550,
1998-01,2.588,
1998-04,-16.180,
1998-07,-1.569,
1998-10,2.919,
1999-01,-1.500,
1999-04,0.043,
1999-07,-0.042,
1999-10,0.048,
2000-01,0.032,
2000-04,0.160,
2000-07,0.173,
2000-10,0.128,
2001-01,-0.003,
2001-04,32.368,
2001-07,-25.279,
2001-10,-14.830,
2002-01,-1.381,
2002-04,-0.038,
2002-07,-1.776,
2002-10,-1.006,
2003-01,-0.120,
2003-04,-1.012,
2003-07,9.129,
2003-10,-0.694,
2004-01,-0.574,
2004-04,-1.828,
2004-07,11.190,
2004-10,-11.104,
2005-01,0.428,
2005-04,-0.076,
2005-07,-0.164,
2005-10,-0.231,
2006-01,80.000,
2006-04,-0.542,
2006-07,-8.373,
2006-10,-1.132,
2007-01,34.930,
2007-04,13.389,
2007-07,-7.590,
2007-10,-8.568,
2008-01,-5.808,
2008-04,-4.853,
2008-07,-3.413,
2008-10,-16.072,
2009-01,-1.199,
2009-04,-0.694,
2009-07,-0.706,
2009-10,-2.237,
2010-01,8.022,
2010-04,-0.746,
2010-07,-1.076,
2010-10,-2.148,
2011-01,2.308,
2011-04,-0.189,
2011-07,0.229,
2011-10,1.921,
2012-01,-1.934,
2012-04,-0.461,
2012-07,-3.669,
2012-10,-2.240,
2013-01,-1.603,
2013-04,-0.510,
2013-07,-2.930,
2013-10,-0.913,
2014-01,-2.217,Provisional value
2014-04,-1.381,Provisional value
2014-07,-1.014,Provisional value
2014-10,-1.547,Provisional value
