"",BBK01.OELL06H,BBK01.OELL06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:12,
2002-01,5.296,
2002-04,5.389,
2002-07,5.455,
2002-10,5.458,
2003-01,5.369,
2003-04,5.248,
2003-07,5.128,
2003-10,5.119,
2004-01,5.123,
2004-04,5.045,
2004-07,5.014,
2004-10,4.953,
2005-01,4.781,
2005-04,4.689,
2005-07,4.539,
2005-10,4.620,
2006-01,4.693,
2006-04,4.891,
2006-07,5.031,
2006-10,5.176,
2007-01,5.439,
2007-04,5.624,
2007-07,5.911,
2007-10,6.243,
2008-01,6.396,
2008-04,6.486,
2008-07,6.868,
2008-10,7.195,
2009-01,6.722,
2009-04,6.052,
2009-07,5.429,
2009-10,5.074,
2010-01,4.706,
2010-04,4.599,
2010-07,4.424,
2010-10,4.330,
2011-01,4.431,
2011-04,4.573,
2011-07,4.625,
2011-10,4.696,
2012-01,4.600,
2012-04,4.423,
2012-07,4.018,
2012-10,3.731,
2013-01,3.379,
2013-04,3.117,
2013-07,2.884,
2013-10,2.810,
2014-01,2.654,
2014-04,2.499,
2014-07,2.393,
