"",BBFB1.Q.N.DE.S19800.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:27,
1991-01,-1287.170,
1991-04,-819.124,
1991-07,-898.249,
1991-10,-1179.470,
1992-01,-1087.101,
1992-04,-471.776,
1992-07,-550.025,
1992-10,-575.441,
1993-01,-468.210,
1993-04,-98.753,
1993-07,-451.971,
1993-10,-165.848,
1994-01,-786.721,
1994-04,320.499,
1994-07,213.342,
1994-10,84.833,
1995-01,354.329,
1995-04,496.982,
1995-07,261.012,
1995-10,29.996,
1996-01,495.637,
1996-04,741.297,
1996-07,1045.347,
1996-10,1193.931,
1997-01,-143.766,
1997-04,1096.869,
1997-07,594.216,
1997-10,77.292,
1998-01,-1361.461,
1998-04,-1202.455,
1998-07,-1413.645,
1998-10,-2279.481,
1999-01,-1938.074,
1999-04,-1094.473,
1999-07,-1420.484,
1999-10,-1437.339,
2000-01,-1825.591,
2000-04,-1707.077,
2000-07,-1486.683,
2000-10,-2883.138,
2001-01,-2502.407,
2001-04,-754.617,
2001-07,-742.015,
2001-10,-2047.545,
2002-01,-1262.818,
2002-04,-135.938,
2002-07,-13.236,
2002-10,-1010.332,
2003-01,-1769.974,
2003-04,-394.856,
2003-07,-279.415,
2003-10,-1526.188,
2004-01,-540.031,
2004-04,143.067,
2004-07,-1056.294,
2004-10,-1928.614,
2005-01,-1510.927,
2005-04,-1262.568,
2005-07,-1406.749,
2005-10,-3536.438,
2006-01,-2416.144,
2006-04,-2167.099,
2006-07,-926.990,
2006-10,-2463.727,
2007-01,-2009.155,
2007-04,-1260.292,
2007-07,-1403.914,
2007-10,-1401.022,
2008-01,-1726.193,
2008-04,-26.981,
2008-07,227.856,
2008-10,-1984.619,
2009-01,-1030.765,
2009-04,726.901,
2009-07,697.563,
2009-10,1739.044,
2010-01,262.268,
2010-04,-87.269,
2010-07,172.902,
2010-10,788.441,
2011-01,237.960,
2011-04,1234.088,
2011-07,1019.565,
2011-10,2757.605,
2012-01,1559.480,
2012-04,2888.010,
2012-07,2899.036,
2012-10,3418.403,
2013-01,1366.050,
2013-04,2339.392,
2013-07,3259.203,
2013-10,2575.961,
2014-01,1039.068,Provisional value
2014-04,2479.570,Provisional value
2014-07,2405.471,Provisional value
