"",BBSF2.M.1.S.I1251.AKT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.AKT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:04,
2009-09,4143,
2009-10,4135,
2009-11,4179,
2009-12,4220,
2010-01,4204,
2010-02,4285,
2010-03,4398,
2010-04,4442,
2010-05,4395,
2010-06,4484,
2010-07,4511,
2010-08,4610,
2010-09,3524,
2010-10,3537,
2010-11,3166,
2010-12,3192,
2011-01,3192,
2011-02,3224,
2011-03,3186,
2011-04,3214,
2011-05,3237,
2011-06,3220,
2011-07,3225,
2011-08,3130,
2011-09,3084,
2011-10,3134,
2011-11,3026,
2011-12,3123,
2012-01,3221,
2012-02,3290,
2012-03,3314,
2012-04,3303,
2012-05,3289,
2012-06,3268,
2012-07,3351,
2012-08,3382,
2012-09,3501,
2012-10,3542,
2012-11,3587,
2012-12,3617,
2013-01,3626,
2013-02,3652,
2013-03,3955,
2013-04,4156,
2013-05,4161,
2013-06,4065,
2013-07,4111,
2013-08,4202,
2013-09,4250,
2013-10,4335,
2013-11,4358,
2013-12,4348,
2014-01,4373,
2014-02,4438,
2014-03,4458,
2014-04,8930,
2014-05,9051,
2014-06,8973,
2014-07,9278,
2014-08,9747,
2014-09,9786,
2014-10,9899,
2014-11,10110,
