"",BBK01.OELO04I,BBK01.OELO04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:11,
2002-01,-0.036,
2002-04,-0.088,
2002-07,0.015,
2002-10,0.046,
2003-01,0.060,
2003-04,-0.047,
2003-07,-0.117,
2003-10,-0.026,
2004-01,-0.058,
2004-04,-0.065,
2004-07,-0.066,
2004-10,-0.027,
2005-01,-0.015,
2005-04,-0.055,
2005-07,-0.009,
2005-10,-0.021,
2006-01,0.007,
2006-04,-0.042,
2006-07,-0.018,
2006-10,-0.042,
2007-01,-0.073,
2007-04,-0.041,
2007-07,-,Nothing exists
2007-10,-0.041,
2008-01,-0.019,
2008-04,-0.061,
2008-07,-0.032,
2008-10,-0.050,
2009-01,-0.020,
2009-04,-0.089,
2009-07,-0.071,
2009-10,-0.013,
2010-01,0.017,
2010-04,-0.023,
2010-07,-0.054,
2010-10,-0.084,
2011-01,-0.026,
2011-04,-0.010,
2011-07,-0.045,
2011-10,-0.026,
2012-01,-0.031,
2012-04,0.005,
2012-07,0.004,
2012-10,0.012,
2013-01,0.046,
2013-04,0.052,
2013-07,-0.032,
2013-10,-0.003,
2014-01,0.035,
2014-04,0.007,
2014-07,-,Nothing exists
