"",BBK01.OEAE14M,BBK01.OEAE14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:23,
2002-01,0.411,
2002-04,0.372,
2002-07,0.352,
2002-10,0.362,
2003-01,0.377,
2003-04,0.352,
2003-07,0.331,
2003-10,0.317,
2004-01,0.326,
2004-04,0.303,
2004-07,0.275,
2004-10,0.261,
2005-01,0.279,
2005-04,0.303,
2005-07,0.283,
2005-10,0.280,
2006-01,0.298,
2006-04,0.271,
2006-07,0.253,
2006-10,0.251,
2007-01,0.272,
2007-04,0.217,
2007-07,0.198,
2007-10,0.210,
2008-01,0.221,
2008-04,0.210,
2008-07,0.187,
2008-10,0.197,
2009-01,0.216,
2009-04,0.190,
2009-07,0.169,
2009-10,0.177,
2010-01,0.236,
2010-04,0.204,
2010-07,0.172,
2010-10,0.172,
2011-01,0.195,
2011-04,0.204,
2011-07,0.184,
2011-10,0.193,
2012-01,0.239,
2012-04,0.221,
2012-07,0.201,
2012-10,0.210,
2013-01,0.237,
2013-04,0.205,
2013-07,0.178,
2013-10,0.187,
2014-01,0.203,
2014-04,0.187,
2014-07,0.170,
