"",BBSF2.M.1.T.00000.DSO01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:04,
2009-09,27,
2009-10,28,
2009-11,29,
2009-12,31,
2010-01,32,
2010-02,35,
2010-03,41,
2010-04,43,
2010-05,38,
2010-06,41,
2010-07,44,
2010-08,45,
2010-09,48,
2010-10,50,
2010-11,50,
2010-12,53,
2011-01,56,
2011-02,57,
2011-03,60,
2011-04,61,
2011-05,56,
2011-06,58,
2011-07,89,
2011-08,50,
2011-09,49,
2011-10,29,
2011-11,28,
2011-12,36,
2012-01,37,
2012-02,38,
2012-03,38,
2012-04,36,
2012-05,27,
2012-06,27,
2012-07,28,
2012-08,28,
2012-09,84,
2012-10,84,
2012-11,84,
2012-12,88,
2013-01,89,
2013-02,91,
2013-03,92,
2013-04,91,
2013-05,94,
2013-06,95,
2013-07,98,
2013-08,96,
2013-09,352,
2013-10,365,
2013-11,387,
2013-12,388,
2014-01,380,
2014-02,383,
2014-03,397,
2014-04,395,
2014-05,440,
2014-06,412,
2014-07,437,
2014-08,444,
2014-09,396,
2014-10,392,
2014-11,420,
