"",BBEX3.A.KWD.USD.CA.AB.A04,BBEX3.A.KWD.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Kuwait  / USD 1 = KWD ... (selling),
unit,KWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:52,
1990,.,No value available
1991,.,No value available
1992,0.29547,
1993,0.30268,
1994,0.29921,
1995,0.29985,
1996,0.30095,
1997,0.30505,
1998,0.30619,
1999,0.30608,
2000,0.30842,
2001,0.30818,
2002,0.30515,
2003,0.29916,
2004,0.29625,
2005,0.29355,
2006,0.29164,
2007,0.28487,
2008,0.27017,
2009,0.28967,
2010,0.28858,
2011,0.27812,
2012,0.28228,
2013,0.28592,
2014,0.28737,
"","Source: Since January 2005: Commercial Bank of Kuwait 1990 - December 2004: Bank of Kuwait and the Middle East, Kuwait",
"",Methodology: Calculated on the basis of month-end rates.,
