"",BBK01.OEAL02N,BBK01.OEAL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:02,
2002-01,60.074,
2002-04,62.870,
2002-07,60.665,
2002-10,64.045,
2003-01,64.965,
2003-04,66.310,
2003-07,66.022,
2003-10,68.774,
2004-01,68.573,
2004-04,69.667,
2004-07,68.522,
2004-10,54.817,
2005-01,61.874,
2005-04,61.677,
2005-07,62.251,
2005-10,64.263,
2006-01,63.984,
2006-04,64.528,
2006-07,62.155,
2006-10,63.140,
2007-01,63.200,
2007-04,64.784,
2007-07,64.402,
2007-10,66.906,
2008-01,65.965,
2008-04,65.685,
2008-07,64.819,
2008-10,70.263,
2009-01,75.462,
2009-04,81.145,
2009-07,83.376,
2009-10,87.786,
2010-01,90.052,
2010-04,93.263,
2010-07,93.213,
2010-10,94.932,
2011-01,94.059,
2011-04,96.394,
2011-07,95.490,
2011-10,99.447,
2012-01,101.666,
2012-04,102.201,
2012-07,106.031,
2012-10,109.864,
2013-01,113.279,
2013-04,117.907,
2013-07,118.464,
2013-10,122.485,
2014-01,123.493,
2014-04,126.295,
2014-07,128.460,
