"",BBEX3.M.ISK.EUR.CA.AC.A01,BBEX3.M.ISK.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Iceland / EUR 1 = ISK ... (middle),
unit,ISK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:07,
1999-01,79.74,
1999-02,79.61,
1999-03,78.07,
1999-04,77.92,
1999-05,77.88,
1999-06,76.95,
1999-07,77.96,
1999-08,76.86,
1999-09,76.38,
1999-10,74.60,
1999-11,73.50,
1999-12,72.84,
2000-01,72.19,
2000-02,71.27,
2000-03,70.42,
2000-04,68.52,
2000-05,70.52,
2000-06,73.29,
2000-07,72.70,
2000-08,72.26,
2000-09,73.07,
2000-10,73.27,
2000-11,75.74,
2000-12,78.83,
2001-01,79.88,
2001-02,79.58,
2001-03,80.51,
2001-04,85.75,
2001-05,89.10,
2001-06,88.84,
2001-07,87.87,
2001-08,90.24,
2001-09,92.88,
2001-10,93.86,
2001-11,95.60,
2001-12,91.33,
2002-01,89.00,
2002-02,87.02,
2002-03,87.32,
2002-04,84.70,
2002-05,85.71,
2002-06,86.27,
2002-07,83.75,
2002-08,86.57,
2002-09,85.48,
2002-10,86.32,
2002-11,85.44,
2002-12,84.71,
2003-01,83.27,
2003-02,83.73,
2003-03,83.53,
2003-04,83.69,
2003-05,84.65,
2003-06,87.47,
2003-07,87.78,
2003-08,87.57,
2003-09,88.81,
2003-10,88.83,
2003-11,89.36,
2003-12,89.56,
2004-01,86.39,
2004-02,86.57,
2004-03,88.42,
2004-04,88.08,
2004-05,87.65,
2004-06,88.34,
2004-07,86.30,
2004-08,87.62,
2004-09,87.61,
2004-10,88.10,
2004-11,86.24,
2004-12,83.51,
2005-01,81.01,
2005-02,80.25,
2005-03,78.67,
2005-04,81.98,
2005-05,79.69,
2005-06,78.56,
2005-07,78.42,
2005-08,77.09,
2005-09,74.43,
2005-10,73.61,
2005-11,74.63,
2005-12,74.70,
2006-01,75.54,
2006-02,77.87,
2006-03,85.82,
2006-04,93.77,
2006-05,92.34,
2006-06,97.38,
2006-07,92.77,
2006-08,88.66,
2006-09,88.78,
2006-10,86.61,
2006-11,89.89,
2006-12,94.61,
2007-01,88.50,
2007-02,88.79,
2007-03,87.63,
2007-04,87.32,
2007-05,82.92,
2007-06,84.02,
2007-07,83.59,
2007-08,86.36,
2007-09,87.80,
2007-10,86.56,
2007-11,90.01,
2007-12,91.20,
2008-01,96.65,
2008-02,99.80,
2008-03,121.28,
2008-04,115.81,
2008-05,115.74,
2008-06,125.33,
2008-07,123.83,
2008-08,122.09,
2008-09,145.49,
2008-10,153.50,
2008-11,182.50,
2008-12,169.97,
2009-01,146.56,
2009-02,143.19,
2009-03,163.08,
2009-04,169.39,
2009-05,173.87,
2009-06,179.41,
2009-07,180.81,
2009-08,179.44,
2009-09,181.61,
2009-10,184.54,
2009-11,183.76,
2009-12,179.88,
2010-01,178.24,
2010-02,174.69,
2010-03,172.51,
2010-04,170.04,
2010-05,158.85,
2010-06,156.75,
2010-07,156.56,
2010-08,153.35,
2010-09,154.87,
2010-10,155.11,
2010-11,152.87,
2010-12,153.80,
2011-01,158.59,
2011-02,160.38,
2011-03,162.07,
2011-04,164.81,
2011-05,165.43,
2011-06,165.72,
2011-07,165.16,
2011-08,163.70,
2011-09,159.45,
2011-10,159.32,
2011-11,159.55,
2011-12,158.84,
2012-01,162.01,
2012-02,167.47,
2012-03,168.73,
2012-04,166.35,
2012-05,162.15,
2012-06,158.23,
2012-07,148.60,
2012-08,153.48,
2012-09,159.97,
2012-10,165.21,
2012-11,163.41,
2012-12,169.80,
2013-01,171.84,
2013-02,164.93,
2013-03,159.40,
2013-04,152.91,
2013-05,159.48,
2013-06,161.10,
2013-07,158.08,
2013-08,158.67,
2013-09,163.39,
2013-10,164.43,
2013-11,162.70,
2013-12,158.50,
2014-01,156.90,
2014-02,155.21,
2014-03,155.41,
2014-04,155.27,
2014-05,153.78,
2014-06,154.07,
2014-07,154.18,
2014-08,153.77,
2014-09,152.70,
2014-10,153.13,
2014-11,154.08,
2014-12,154.27,
2015-01,150.78,
"","General: Collapse of banking system and introduction of capital controls in October 2008, see Deutsche Bundesbank, Monthly Report, July 2010, pp 52-53. www.bundesbank.de/Redaktion/EN/Downloads/Publications/Monthly_Report/2010/2010_07_monthly_report.pdf?__blob=publicationFile",
"","Source: Sedlabanki Islands, Reykjavik (until 2007, calculated on the basis of buying and selling rates).",
