"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:33,
1991-01,3456.419,
1991-04,2670.712,
1991-07,3386.512,
1991-10,5790.779,
1992-01,2164.054,
1992-04,1780.167,
1992-07,2870.868,
1992-10,3420.729,
1993-01,2330.844,
1993-04,1545.435,
1993-07,2468.853,
1993-10,3514.707,
1994-01,2745.674,
1994-04,3001.399,
1994-07,1351.416,
1994-10,2940.175,
1995-01,6526.138,
1995-04,3133.870,
1995-07,2124.431,
1995-10,5034.991,
1996-01,7582.044,
1996-04,4802.447,
1996-07,3057.748,
1996-10,8150.433,
1997-01,3125.868,
1997-04,7680.438,
1997-07,3404.231,
1997-10,6405.920,
1998-01,11783.522,
1998-04,12818.791,
1998-07,-1619.433,
1998-10,6332.114,
1999-01,14590.676,
1999-04,17671.886,
1999-07,9480.678,
1999-10,43580.841,
2000-01,14121.639,
2000-04,32731.883,
2000-07,7536.270,
2000-10,-13841.850,
2001-01,7380.754,
2001-04,-2467.429,
2001-07,6206.309,
2001-10,9311.645,
2002-01,4884.421,
2002-04,11914.683,
2002-07,10530.324,
2002-10,6344.710,
2003-01,18216.518,
2003-04,6272.033,
2003-07,-1611.008,
2003-10,7065.643,
2004-01,-5602.786,
2004-04,1303.263,
2004-07,1636.869,
2004-10,-7653.195,
2005-01,10890.130,
2005-04,9223.878,
2005-07,8376.225,
2005-10,17863.985,
2006-01,20234.583,
2006-04,3502.761,
2006-07,22886.717,
2006-10,14926.289,
2007-01,7827.655,
2007-04,15007.500,
2007-07,17465.310,
2007-10,-6336.717,
2008-01,26735.160,
2008-04,13990.347,
2008-07,3996.379,
2008-10,11900.948,
2009-01,16659.486,
2009-04,11332.848,
2009-07,9500.626,
2009-10,17471.109,
2010-01,22807.496,
2010-04,20781.354,
2010-07,554.798,
2010-10,16732.425,
2011-01,20097.932,
2011-04,15331.044,
2011-07,9327.999,
2011-10,5660.314,
2012-01,25268.456,
2012-04,15666.739,
2012-07,19312.825,
2012-10,15299.497,
2013-01,17798.073,
2013-04,12583.434,
2013-07,3073.164,
2013-10,-1254.168,
2014-01,19044.905,Provisional value
2014-04,14021.379,Provisional value
2014-07,18311.898,Provisional value
2014-10,9378.270,Provisional value
