"",BBEX3.M.INR.USD.CA.AB.A01,BBEX3.M.INR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in India / USD 1 = INR ... (selling),
unit,INR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:01,
1993-08,31.55,
1993-09,31.55,
1993-10,31.55,
1993-11,31.55,
1993-12,31.55,
1994-01,31.55,
1994-02,31.55,
1994-03,31.55,
1994-04,31.55,
1994-05,31.55,
1994-06,31.55,
1994-07,31.55,
1994-08,31.55,
1994-09,31.55,
1994-10,31.55,
1994-11,31.55,
1994-12,31.55,
1995-01,31.55,
1995-02,31.55,
1995-03,31.65,
1995-04,31.60,
1995-05,31.55,
1995-06,31.60,
1995-07,31.55,
1995-08,32.00,
1995-09,34.05,
1995-10,34.85,
1995-11,35.05,
1995-12,35.25,
1996-01,36.25,
1996-02,35.35,
1996-03,34.45,
1996-04,34.45,
1996-05,35.20,
1996-06,35.15,
1996-07,35.80,
1996-08,35.85,
1996-09,35.80,
1996-10,35.78,
1996-11,35.85,
1996-12,36.07,
1997-01,36.07,
1997-02,36.08,
1997-03,36.11,
1997-04,36.02,
1997-05,35.97,
1997-06,35.98,
1997-07,35.85,
1997-08,36.45,
1997-09,36.34,
1997-10,36.50,
1997-11,38.76,
1997-12,39.43,
1998-01,39.09,
1998-02,39.51,
1998-03,39.73,
1998-04,39.98,
1998-05,41.72,
1998-06,42.76,
1998-07,42.83,
1998-08,42.82,
1998-09,42.74,
1998-10,42.53,
1998-11,42.79,
1998-12,42.77,
1999-01,42.72,
1999-02,42.67,
1999-03,42.62,
1999-04,42.99,
1999-05,43.21,
1999-06,43.56,
1999-07,43.48,
1999-08,43.69,
1999-09,43.78,
1999-10,43.60,
1999-11,43.61,
1999-12,43.72,
2000-01,43.82,
2000-02,43.81,
2000-03,43.81,
2000-04,43.86,
2000-05,44.75,
2000-06,44.90,
2000-07,45.11,
2000-08,46.04,
2000-09,46.26,
2000-10,46.91,
2000-11,47.08,
2000-12,46.92,
2001-01,46.62,
2001-02,46.85,
2001-03,46.79,
2001-04,47.06,
2001-05,47.18,
2001-06,47.24,
2001-07,47.36,
2001-08,47.35,
2001-09,48.12,
2001-10,48.25,
2001-11,48.21,
2001-12,48.51,
2002-01,48.74,
2002-02,48.94,
2002-03,48.86,
2002-04,49.20,
2002-05,49.20,
2002-06,49.03,
2002-07,48.87,
2002-08,48.73,
2002-09,48.59,
2002-10,48.58,
2002-11,48.46,
2002-12,48.13,
2003-01,47.97,
2003-02,47.85,
2003-03,47.73,
2003-04,47.55,
2003-05,47.19,
2003-06,46.59,
2003-07,46.31,
2003-08,46.02,
2003-09,46.01,
2003-10,45.50,
2003-11,46.11,
2003-12,45.74,
2004-01,45.49,
2004-02,45.43,
2004-03,44.22,
2004-04,44.50,
2004-05,45.55,
2004-06,46.24,
2004-07,46.66,
2004-08,46.57,
2004-09,46.37,
2004-10,45.70,
2004-11,44.94,
2004-12,43.85,
2005-01,43.95,
2005-02,43.88,
2005-03,43.98,
2005-04,43.90,
2005-05,43.88,
2005-06,43.74,
2005-07,43.70,
2005-08,44.23,
2005-09,44.27,
2005-10,45.35,
2005-11,46.14,
2005-12,45.31,
2006-01,44.27,
2006-02,44.73,
2006-03,44.86,
2006-04,45.22,
2006-05,46.79,
2006-06,46.44,
2006-07,46.80,
2006-08,46.83,
2006-09,46.17,
2006-10,45.21,
2006-11,44.96,
2006-12,44.42,
2007-01,44.37,
2007-02,44.56,
2007-03,43.77,
2007-04,41.51,
2007-05,41.03,
2007-06,41.03,
2007-07,40.69,
2007-08,41.35,
2007-09,40.04,
2007-10,41.59,
2007-11,39.95,
2007-12,40.68,
2008-01,39.70,
2008-02,40.16,
2008-03,40.11,
2008-04,40.76,
2008-05,42.86,
2008-06,43.13,
2008-07,42.76,
2008-08,44.12,
2008-09,47.32,
2008-10,49.82,
2008-11,50.23,
2008-12,48.95,
2009-01,49.47,
2009-02,51.03,
2009-03,51.88,
2009-04,50.43,
2009-05,47.97,
2009-06,48.32,
2009-07,48.67,
2009-08,49.30,
2009-09,48.47,
2009-10,47.32,
2009-11,46.85,
2009-12,47.12,
2010-01,46.80,
2010-02,46.77,
2010-03,45.58,
2010-04,44.91,
2010-05,46.89,
2010-06,47.10,
2010-07,46.92,
2010-08,47.47,
2010-09,45.35,
2010-10,44.98,
2010-11,46.52,
2010-12,45.28,
2011-01,46.39,
2011-02,45.75,
2011-03,45.14,
2011-04,44.84,
2011-05,45.39,
2011-06,45.24,
2011-07,44.49,
2011-08,46.32,
2011-09,49.30,
2011-10,49.45,
2011-11,52.48,
2011-12,53.25,
2012-01,50.00,
2012-02,49.27,
2012-03,51.53,
2012-04,52.88,
2012-05,56.79,
2012-06,.,No value available
2012-07,55.83,
2012-08,56.08,
2012-09,53.13,
2012-10,54.43,
2012-11,54.78,
2012-12,55.16,
2013-01,53.45,
2013-02,54.43,
2013-03,54.80,
2013-04,54.55,
2013-05,56.86,
2013-06,60.24,
2013-07,61.44,
2013-08,66.70,
2013-09,62.89,
2013-10,61.84,
2013-11,62.74,
2013-12,62.38,
2014-01,63.04,
2014-02,62.52,
2014-03,60.48,
2014-04,60.74,
2014-05,59.39,
2014-06,60.49,
2014-07,60.64,
2014-08,60.94,
2014-09,61.99,
2014-10,61.84,
2014-11,62.34,
2014-12,63.80,
2015-01,62.25,
"","Source: State Bank of India, Frankfurt am Main.",
