"",BBK01.OELI08N,BBK01.OELI08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:12,
2002-01,27.160,
2002-04,27.120,
2002-07,27.067,
2002-10,27.919,
2003-01,28.140,
2003-04,28.275,
2003-07,28.212,
2003-10,28.699,
2004-01,28.639,
2004-04,28.478,
2004-07,28.094,
2004-10,28.480,
2005-01,28.492,
2005-04,28.348,
2005-07,28.309,
2005-10,28.743,
2006-01,28.801,
2006-04,28.471,
2006-07,27.543,
2006-10,27.018,
2007-01,25.961,
2007-04,25.384,
2007-07,24.554,
2007-10,24.439,
2008-01,23.915,
2008-04,23.427,
2008-07,23.035,
2008-10,23.633,
2009-01,24.611,
2009-04,25.405,
2009-07,26.246,
2009-10,27.736,
2010-01,29.255,
2010-04,30.246,
2010-07,30.896,
2010-10,31.875,
2011-01,32.204,
2011-04,32.034,
2011-07,31.649,
2011-10,32.669,
2012-01,31.813,
2012-04,31.831,
2012-07,31.915,
2012-10,32.353,
2013-01,32.433,
2013-04,32.341,
2013-07,32.306,
2013-10,32.709,
2014-01,32.678,
2014-04,32.607,
2014-07,32.582,
