"",BBK01.OEAH48L,BBK01.OEAH48L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:21,
2002-01,0.033,
2002-04,0.033,
2002-07,0.032,
2002-10,0.035,
2003-01,0.034,
2003-04,0.038,
2003-07,0.042,
2003-10,0.043,
2004-01,0.039,
2004-04,0.040,
2004-07,0.040,
2004-10,0.038,
2005-01,0.035,
2005-04,0.032,
2005-07,0.036,
2005-10,0.036,
2006-01,0.033,
2006-04,0.030,
2006-07,0.033,
2006-10,0.033,
2007-01,0.042,
2007-04,0.056,
2007-07,0.058,
2007-10,0.156,
2008-01,0.184,
2008-04,0.185,
2008-07,0.222,
2008-10,0.248,
2009-01,0.224,
2009-04,0.183,
2009-07,0.184,
2009-10,0.176,
2010-01,0.134,
2010-04,0.246,
2010-07,0.236,
2010-10,0.376,
2011-01,0.383,
2011-04,0.285,
2011-07,0.268,
2011-10,0.154,
2012-01,0.140,
2012-04,0.142,
2012-07,0.146,
2012-10,0.115,
2013-01,0.125,
2013-04,0.120,
2013-07,0.118,
2013-10,0.082,
2014-01,0.100,
2014-04,0.145,
2014-07,0.147,
