"",BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:31,
1991-01,-0.205,
1991-04,-0.128,
1991-07,-0.004,
1991-10,-0.197,
1992-01,-0.085,
1992-04,-0.047,
1992-07,9.630,
1992-10,-0.098,
1993-01,0.300,
1993-04,-0.161,
1993-07,-0.048,
1993-10,0.017,
1994-01,-0.743,
1994-04,-0.063,
1994-07,-0.112,
1994-10,-0.229,
1995-01,-0.246,
1995-04,0.583,
1995-07,-0.133,
1995-10,-0.958,
1996-01,0.170,
1996-04,-1.937,
1996-07,-0.699,
1996-10,-3.229,
1997-01,-0.159,
1997-04,-0.783,
1997-07,-0.415,
1997-10,-0.051,
1998-01,-0.506,
1998-04,-0.671,
1998-07,-1.325,
1998-10,-0.794,
1999-01,-0.219,
1999-04,0.125,
1999-07,-0.113,
1999-10,0.199,
2000-01,-1.093,
2000-04,-0.616,
2000-07,-0.098,
2000-10,-0.740,
2001-01,-0.325,
2001-04,-0.881,
2001-07,-0.130,
2001-10,-0.527,
2002-01,0.084,
2002-04,-0.035,
2002-07,-0.450,
2002-10,-0.372,
2003-01,1.255,
2003-04,-0.446,
2003-07,-0.075,
2003-10,-0.103,
2004-01,0.507,
2004-04,-3.042,
2004-07,0.065,
2004-10,-7.079,
2005-01,-0.960,
2005-04,-0.047,
2005-07,-0.208,
2005-10,-0.016,
2006-01,0.209,
2006-04,-0.001,
2006-07,-0.205,
2006-10,0.251,
2007-01,-0.240,
2007-04,-0.146,
2007-07,-0.038,
2007-10,0.173,
2008-01,-0.749,
2008-04,0.086,
2008-07,-0.207,
2008-10,-1.302,
2009-01,30.502,
2009-04,20.201,
2009-07,13.287,
2009-10,-0.685,
2010-01,-0.457,
2010-04,-0.032,
2010-07,32.021,
2010-10,22.550,
2011-01,1.491,
2011-04,0.954,
2011-07,-26.460,
2011-10,-29.375,
2012-01,0.107,
2012-04,0.463,
2012-07,20.258,
2012-10,0.070,
2013-01,84.953,
2013-04,51.965,
2013-07,109.089,
2013-10,54.123,
2014-01,-11.025,Provisional value
2014-04,181.902,Provisional value
2014-07,263.902,Provisional value
2014-10,194.940,Provisional value
