"",BBK01.BJ8071,BBK01.BJ8071_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty as a % of GDP - Germany - state government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:54,
1991,-0.638,
1992,-0.718,
1993,-1.104,
1994,-1.265,
1995,-1.274,
1996,-1.210,
1997,-1.227,
1998,-0.800,
1999,-0.551,
2000,-0.418,
2001,-1.357,
2002,-1.513,
2003,-1.558,
2004,-1.212,
2005,-1.003,
2006,-0.484,
2007,0.103,
2008,-0.060,
2009,-0.787,
2010,-0.791,
2011,-0.482,Provisional value
2012,-0.206,Provisional value
2013,-0.100,Provisional value
2014,-0.016,Provisional value
