"",BBK01.OEHO01U,BBK01.OEHO01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:04,
2002-01,7.010,
2002-04,6.932,
2002-07,6.817,
2002-10,6.794,
2003-01,6.990,
2003-04,7.044,
2003-07,7.030,
2003-10,7.093,
2004-01,7.361,
2004-04,7.439,
2004-07,7.473,
2004-10,7.498,
2005-01,7.715,
2005-04,7.761,
2005-07,7.754,
2005-10,7.733,
2006-01,7.887,
2006-04,7.944,
2006-07,7.884,
2006-10,7.804,
2007-01,7.866,
2007-04,7.771,
2007-07,7.664,
2007-10,7.608,
2008-01,7.716,
2008-04,7.565,
2008-07,7.409,
2008-10,7.277,
2009-01,7.428,
2009-04,7.493,
2009-07,7.541,
2009-10,7.594,
2010-01,7.951,
2010-04,8.100,
2010-07,8.153,
2010-10,8.186,
2011-01,8.307,
2011-04,8.329,
2011-07,8.284,
2011-10,8.264,
2012-01,8.347,
2012-04,8.344,
2012-07,8.316,
2012-10,8.305,
2013-01,8.437,
2013-04,8.491,
2013-07,8.472,
2013-10,8.467,
2014-01,8.527,
2014-04,8.546,
2014-07,8.526,
