"",BBK01.OEHB22J,BBK01.OEHB22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:36,
2002-01,0.060,
2002-04,0.067,
2002-07,0.066,
2002-10,0.050,
2003-01,0.056,
2003-04,0.012,
2003-07,0.025,
2003-10,0.038,
2004-01,0.028,
2004-04,0.051,
2004-07,0.042,
2004-10,0.005,
2005-01,0.036,
2005-04,0.026,
2005-07,0.038,
2005-10,0.099,
2006-01,0.033,
2006-04,0.056,
2006-07,0.076,
2006-10,0.140,
2007-01,0.065,
2007-04,0.051,
2007-07,0.030,
2007-10,0.037,
2008-01,0.011,
2008-04,0.023,
2008-07,0.059,
2008-10,0.025,
2009-01,0.007,
2009-04,0.043,
2009-07,0.076,
2009-10,0.020,
2010-01,0.004,
2010-04,0.042,
2010-07,0.017,
2010-10,0.033,
2011-01,0.006,
2011-04,0.034,
2011-07,0.067,
2011-10,0.008,
2012-01,0.004,
2012-04,0.026,
2012-07,0.025,
2012-10,0.009,
2013-01,0.006,
2013-04,0.029,
2013-07,0.020,
2013-10,0.047,
2014-01,0.018,
2014-04,0.048,
2014-07,0.048,
