"",BBK01.OEHJ06P,BBK01.OEHJ06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:47,
2002-01,0.365,
2002-04,0.365,
2002-07,0.362,
2002-10,0.352,
2003-01,0.349,
2003-04,0.338,
2003-07,0.354,
2003-10,0.572,
2004-01,0.562,
2004-04,0.560,
2004-07,0.560,
2004-10,0.559,
2005-01,0.554,
2005-04,0.552,
2005-07,0.527,
2005-10,0.490,
2006-01,0.468,
2006-04,0.464,
2006-07,0.459,
2006-10,0.460,
2007-01,0.450,
2007-04,0.438,
2007-07,0.409,
2007-10,0.360,
2008-01,0.330,
2008-04,0.330,
2008-07,0.344,
2008-10,0.348,
2009-01,0.351,
2009-04,0.388,
2009-07,0.398,
2009-10,0.373,
2010-01,0.351,
2010-04,0.331,
2010-07,0.271,
2010-10,0.240,
2011-01,0.237,
2011-04,0.237,
2011-07,0.223,
2011-10,0.176,
2012-01,0.175,
2012-04,0.167,
2012-07,0.167,
2012-10,0.176,
2013-01,0.174,
2013-04,0.172,
2013-07,0.176,
2013-10,0.194,
2014-01,0.187,
2014-04,0.187,
2014-07,0.191,
