"",BBEX3.M.THB.EUR.CA.AC.A01,BBEX3.M.THB.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Thailand / EUR 1 = THB ... (middle),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:18,
1999-01,42.07610,
1999-02,41.24215,
1999-03,40.34730,
1999-04,39.57475,
1999-05,38.69705,
1999-06,38.11170,
1999-07,39.76375,
1999-08,40.25465,
1999-09,43.65250,
1999-10,40.81625,
1999-11,39.44610,
1999-12,37.74800,
2000-01,36.78395,
2000-02,36.79750,
2000-03,36.30160,
2000-04,34.67455,
2000-05,36.47910,
2000-06,37.30755,
2000-07,38.33625,
2000-08,36.57395,
2000-09,37.22800,
2000-10,37.00330,
2000-11,37.71935,
2000-12,40.23535,
2001-01,39.46545,
2001-02,39.37320,
2001-03,39.47000,
2001-04,40.67360,
2001-05,38.78525,
2001-06,38.24300,
2001-07,40.00910,
2001-08,40.51690,
2001-09,40.61775,
2001-10,40.49360,
2001-11,39.04860,
2001-12,39.11175,
2002-01,37.95795,
2002-02,37.87590,
2002-03,37.86230,
2002-04,39.05035,
2002-05,39.76660,
2002-06,41.12075,
2002-07,41.34025,
2002-08,41.56025,
2002-09,42.63535,
2002-10,42.72970,
2002-11,43.11190,
2002-12,44.83120,
2003-01,46.25310,
2003-02,45.88185,
2003-03,46.43200,
2003-04,47.63270,
2003-05,49.55000,
2003-06,48.06965,
2003-07,47.67825,
2003-08,44.86480,
2003-09,46.50265,
2003-10,46.40550,
2003-11,47.57785,
2003-12,49.82585,
2004-01,48.74715,
2004-02,48.95255,
2004-03,48.20590,
2004-04,47.83340,
2004-05,49.46465,
2004-06,49.50020,
2004-07,49.82320,
2004-08,50.25980,
2004-09,51.14660,
2004-10,52.31685,
2004-11,52.43455,
2004-12,53.20755,
2005-01,50.20420,
2005-02,50.84630,
2005-03,50.62605,
2005-04,51.21045,
2005-05,50.23290,
2005-06,49.91695,
2005-07,50.62190,
2005-08,50.54990,
2005-09,49.36930,
2005-10,49.21330,
2005-11,48.54595,
2005-12,48.69350,
2006-01,47.29290,
2006-02,46.58195,
2006-03,47.22810,
2006-04,47.01500,
2006-05,49.09315,
2006-06,48.56380,
2006-07,48.28570,
2006-08,48.24505,
2006-09,47.66510,
2006-10,46.75715,
2006-11,47.45195,
2006-12,47.45920,
2007-01,46.39845,
2007-02,46.84675,
2007-03,46.67385,
2007-04,47.38145,
2007-05,46.58205,
2007-06,46.43345,
2007-07,46.34650,
2007-08,46.92245,
2007-09,48.53855,
2007-10,49.10030,
2007-11,49.95345,
2007-12,49.33050,
2008-01,49.04715,
2008-02,48.43825,
2008-03,49.72665,
2008-04,49.42480,
2008-05,50.33395,
2008-06,52.87655,
2008-07,52.25420,
2008-08,50.32675,
2008-09,48.96040,
2008-10,44.80170,
2008-11,45.71135,
2008-12,49.26620,
2009-01,45.07800,
2009-02,45.85140,
2009-03,47.02005,
2009-04,47.00470,
2009-05,48.06975,
2009-06,48.04275,
2009-07,48.03590,
2009-08,48.61710,
2009-09,49.04795,
2009-10,49.61115,
2009-11,49.96760,
2009-12,47.79335,
2010-01,46.19220,
2010-02,44.89885,
2010-03,43.41160,
2010-04,42.78705,
2010-05,40.06190,
2010-06,39.58950,
2010-07,42.15100,
2010-08,39.59730,
2010-09,41.40840,
2010-10,41.66660,
2010-11,39.66785,
2010-12,39.93935,
2011-01,42.35785,
2011-02,42.06085,
2011-03,42.85715,
2011-04,44.38800,
2011-05,43.57530,
2011-06,44.51725,
2011-07,42.57160,
2011-08,43.31730,
2011-09,42.24255,
2011-10,43.16065,
2011-11,41.60075,
2011-12,41.02735,
2012-01,40.88455,
2012-02,40.74970,
2012-03,41.17410,
2012-04,40.68290,
2012-05,39.48125,
2012-06,39.83325,
2012-07,38.74555,
2012-08,39.26600,
2012-09,39.84525,
2012-10,39.79015,
2012-11,39.86525,
2012-12,40.55625,
2013-01,40.37945,
2013-02,39.17500,
2013-03,37.37230,
2013-04,38.37700,
2013-05,39.30675,
2013-06,40.61685,
2013-07,41.57020,
2013-08,42.47670,
2013-09,42.36045,
2013-10,42.66960,
2013-11,43.68250,
2013-12,45.02165,
2014-01,44.71850,
2014-02,44.68445,
2014-03,44.60745,
2014-04,44.59700,
2014-05,44.61120,
2014-06,44.27475,
2014-07,42.85015,
2014-08,42.10760,
2014-09,41.06880,
2014-10,40.93440,
2014-11,40.85575,
2014-12,40.05295,
2015-01,37.06620,
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Thailand, Bangkok.",
