"",BBK01.OEBB21J,BBK01.OEBB21J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:05,
2002-01,0.046,
2002-04,0.053,
2002-07,0.046,
2002-10,0.055,
2003-01,0.046,
2003-04,0.045,
2003-07,0.067,
2003-10,0.048,
2004-01,0.044,
2004-04,0.033,
2004-07,0.035,
2004-10,0.028,
2005-01,0.617,
2005-04,0.613,
2005-07,0.573,
2005-10,0.571,
2006-01,0.568,
2006-04,0.534,
2006-07,0.440,
2006-10,0.302,
2007-01,0.180,
2007-04,0.168,
2007-07,0.168,
2007-10,0.030,
2008-01,0.027,
2008-04,0.035,
2008-07,0.032,
2008-10,0.034,
2009-01,0.033,
2009-04,0.042,
2009-07,0.042,
2009-10,0.034,
2010-01,0.034,
2010-04,0.034,
2010-07,0.033,
2010-10,0.033,
2011-01,0.034,
2011-04,0.032,
2011-07,0.035,
2011-10,0.034,
2012-01,0.033,
2012-04,0.706,
2012-07,0.921,
2012-10,0.185,
2013-01,0.385,
2013-04,0.235,
2013-07,0.185,
2013-10,0.234,
2014-01,0.160,
2014-04,0.211,
2014-07,0.175,
