"",BBK01.OEAA31R,BBK01.OEAA31R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:44,
2002-01,3.483,
2002-04,3.496,
2002-07,3.491,
2002-10,3.494,
2003-01,3.435,
2003-04,3.434,
2003-07,3.410,
2003-10,3.424,
2004-01,3.352,
2004-04,3.335,
2004-07,3.340,
2004-10,3.304,
2005-01,3.279,
2005-04,3.257,
2005-07,3.211,
2005-10,3.206,
2006-01,3.172,
2006-04,3.150,
2006-07,3.142,
2006-10,3.145,
2007-01,3.112,
2007-04,3.079,
2007-07,3.039,
2007-10,3.087,
2008-01,3.063,
2008-04,3.064,
2008-07,3.048,
2008-10,3.046,
2009-01,3.054,
2009-04,3.164,
2009-07,3.151,
2009-10,3.187,
2010-01,3.144,
2010-04,3.157,
2010-07,3.168,
2010-10,3.175,
2011-01,3.170,
2011-04,3.194,
2011-07,3.210,
2011-10,3.253,
2012-01,3.256,
2012-04,3.641,
2012-07,3.644,
2012-10,3.659,
2013-01,3.660,
2013-04,3.691,
2013-07,3.703,
2013-10,3.729,
2014-01,3.757,
2014-04,3.783,
2014-07,3.799,
