"",BBK01.CEF00N,BBK01.CEF00N_FLAGS
"",Total financial assets                                            debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:22,
1999-01,2412.7,
1999-04,2498.3,
1999-07,2510.8,
1999-10,2767.1,
2000-01,2990.9,
2000-04,3071.5,
2000-07,3198.8,
2000-10,3311.8,
2001-01,3568.8,
2001-04,3608.3,
2001-07,3697.5,
2001-10,3645.4,
2002-01,3727.7,
2002-04,3766.6,
2002-07,3822.4,
2002-10,3869.2,
2003-01,4031.4,
2003-04,4149.7,
2003-07,4075.8,
2003-10,4051.0,
2004-01,4299.3,
2004-04,4168.7,
2004-07,4248.7,
2004-10,4298.9,
2005-01,4485.8,
2005-04,4643.8,
2005-07,4760.3,
2005-10,4823.5,
2006-01,5614.9,
2006-04,5582.7,
2006-07,5623.7,
2006-10,5622.4,
2007-01,5877.9,
2007-04,6152.7,
2007-07,6244.2,
2007-10,6238.2,
2008-01,6171.5,
2008-04,6019.8,
2008-07,6188.1,
2008-10,6068.0,
2009-01,6032.9,
2009-04,5586.9,
2009-07,5608.7,
2009-10,5581.4,
2010-01,5805.4,
2010-04,6165.6,
2010-07,6126.5,
2010-10,5943.0,
2011-01,5715.4,
2011-04,5744.4,
2011-07,6290.3,
2011-10,6182.6,
2012-01,6430.5,
2012-04,6626.8,
2012-07,6636.3,
2012-10,6476.1,
2013-01,6372.4,
2013-04,6218.6,
2013-07,6072.7,
2013-10,6001.2,
2014-01,6034.6,
2014-04,6149.0,
2014-07,6281.9,
