"",BBFB1.Q.N.DE.E14000.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:20,
1991-01,1458.240,
1991-04,1378.416,
1991-07,1427.317,
1991-10,1371.196,
1992-01,1388.840,
1992-04,1435.191,
1992-07,1500.330,
1992-10,1483.922,
1993-01,1460.771,
1993-04,1391.186,
1993-07,1398.454,
1993-10,1626.315,
1994-01,1516.004,
1994-04,1419.716,
1994-07,1345.900,
1994-10,1439.296,
1995-01,1451.181,
1995-04,1332.952,
1995-07,1446.365,
1995-10,1432.845,
1996-01,1420.384,
1996-04,1419.980,
1996-07,1413.590,
1996-10,1668.292,
1997-01,1756.312,
1997-04,1675.669,
1997-07,1604.431,
1997-10,1989.056,
1998-01,1542.361,
1998-04,1562.799,
1998-07,1443.081,
1998-10,1680.321,
1999-01,1592.469,
1999-04,1823.719,
1999-07,1653.994,
1999-10,1948.469,
2000-01,1968.217,
2000-04,1882.533,
2000-07,1984.850,
2000-10,2314.393,
2001-01,2197.074,
2001-04,2318.588,
2001-07,2133.730,
2001-10,2259.114,
2002-01,2099.773,
2002-04,2191.218,
2002-07,2192.390,
2002-10,2346.371,
2003-01,2239.817,
2003-04,2391.595,
2003-07,2343.200,
2003-10,2465.582,
2004-01,2678.003,
2004-04,2684.533,
2004-07,2750.913,
2004-10,3047.946,
2005-01,3176.332,
2005-04,3303.155,
2005-07,3262.848,
2005-10,3907.730,
2006-01,4011.036,
2006-04,4189.646,
2006-07,4257.547,
2006-10,4089.974,
2007-01,5613.553,
2007-04,5604.945,
2007-07,4983.710,
2007-10,4860.043,
2008-01,4769.364,
2008-04,4067.406,
2008-07,3542.244,
2008-10,3828.340,
2009-01,3783.340,
2009-04,3740.996,
2009-07,3702.651,
2009-10,3947.672,
2010-01,3501.991,
2010-04,3626.926,
2010-07,3475.591,
2010-10,3817.642,
2011-01,4126.882,
2011-04,4186.298,
2011-07,4152.172,
2011-10,4510.325,
2012-01,4362.507,
2012-04,4429.808,
2012-07,4263.258,
2012-10,5435.961,
2013-01,4744.531,
2013-04,4754.409,
2013-07,4455.924,
2013-10,4763.965,
2014-01,4621.109,Provisional value
2014-04,4896.763,Provisional value
2014-07,4744.874,Provisional value
