"",BBK01.OEAD09I,BBK01.OEAD09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:02,
2002-01,0.221,
2002-04,0.265,
2002-07,0.260,
2002-10,0.258,
2003-01,0.251,
2003-04,0.183,
2003-07,0.194,
2003-10,0.131,
2004-01,0.125,
2004-04,0.102,
2004-07,0.110,
2004-10,0.109,
2005-01,0.098,
2005-04,0.100,
2005-07,0.090,
2005-10,0.090,
2006-01,0.089,
2006-04,0.099,
2006-07,0.102,
2006-10,0.097,
2007-01,0.103,
2007-04,0.092,
2007-07,0.094,
2007-10,0.081,
2008-01,0.070,
2008-04,0.064,
2008-07,0.062,
2008-10,0.056,
2009-01,0.054,
2009-04,0.052,
2009-07,0.050,
2009-10,0.046,
2010-01,0.038,
2010-04,0.039,
2010-07,0.050,
2010-10,0.032,
2011-01,0.038,
2011-04,0.037,
2011-07,0.032,
2011-10,0.026,
2012-01,0.027,
2012-04,0.027,
2012-07,0.039,
2012-10,0.034,
2013-01,0.036,
2013-04,0.037,
2013-07,0.037,
2013-10,0.036,
2014-01,0.034,
2014-04,0.036,
2014-07,0.042,
