"",BBK01.OEAC20V,BBK01.OEAC20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:51,
2002-01,0.970,
2002-04,0.994,
2002-07,0.945,
2002-10,0.945,
2003-01,0.906,
2003-04,0.736,
2003-07,0.731,
2003-10,0.720,
2004-01,0.742,
2004-04,0.749,
2004-07,0.712,
2004-10,0.690,
2005-01,0.677,
2005-04,0.651,
2005-07,0.631,
2005-10,0.636,
2006-01,0.645,
2006-04,0.626,
2006-07,0.520,
2006-10,0.553,
2007-01,0.516,
2007-04,0.529,
2007-07,0.519,
2007-10,0.555,
2008-01,0.572,
2008-04,0.540,
2008-07,0.524,
2008-10,0.485,
2009-01,0.511,
2009-04,0.531,
2009-07,0.533,
2009-10,0.492,
2010-01,0.408,
2010-04,0.410,
2010-07,0.416,
2010-10,0.422,
2011-01,0.403,
2011-04,0.406,
2011-07,0.415,
2011-10,0.393,
2012-01,0.414,
2012-04,0.430,
2012-07,0.440,
2012-10,0.450,
2013-01,0.458,
2013-04,0.446,
2013-07,0.439,
2013-10,0.422,
2014-01,0.421,
2014-04,0.435,
2014-07,0.432,
