"",BBK01.OEBM01L,BBK01.OEBM01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:16,
2002-01,4.890,
2002-04,5.812,
2002-07,6.077,
2002-10,5.164,
2003-01,6.764,
2003-04,7.541,
2003-07,5.452,
2003-10,4.582,
2004-01,8.663,
2004-04,9.257,
2004-07,7.017,
2004-10,5.439,
2005-01,6.934,
2005-04,9.083,
2005-07,9.768,
2005-10,7.054,
2006-01,9.399,
2006-04,9.964,
2006-07,8.994,
2006-10,8.589,
2007-01,11.009,
2007-04,15.278,
2007-07,13.346,
2007-10,15.385,
2008-01,14.603,
2008-04,17.717,
2008-07,17.575,
2008-10,13.325,
2009-01,14.700,
2009-04,20.207,
2009-07,11.924,
2009-10,11.910,
2010-01,11.813,
2010-04,12.368,
2010-07,12.059,
2010-10,12.716,
2011-01,13.919,
2011-04,14.762,
2011-07,14.535,
2011-10,15.580,
2012-01,15.220,
2012-04,17.199,
2012-07,16.030,
2012-10,18.241,
2013-01,16.058,
2013-04,15.339,
2013-07,14.414,
2013-10,17.736,
2014-01,16.617,
2014-04,18.457,
2014-07,20.120,
