"",BBSF2.M.1.P.00000.DAC01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:32,
2009-09,13280,
2009-10,13562,
2009-11,13723,
2009-12,14153,
2010-01,14154,
2010-02,14184,
2010-03,14642,
2010-04,14880,
2010-05,14616,
2010-06,14310,
2010-07,14598,
2010-08,15078,
2010-09,14713,
2010-10,14896,
2010-11,15121,
2010-12,15550,
2011-01,15467,
2011-02,15501,
2011-03,15293,
2011-04,15376,
2011-05,15324,
2011-06,14969,
2011-07,15829,
2011-08,14951,
2011-09,14682,
2011-10,14367,
2011-11,14009,
2011-12,14045,
2012-01,14290,
2012-02,14487,
2012-03,14416,
2012-04,14337,
2012-05,14081,
2012-06,13488,
2012-07,13960,
2012-08,13959,
2012-09,14041,
2012-10,13788,
2012-11,13966,
2012-12,14065,
2013-01,14295,
2013-02,14359,
2013-03,14681,
2013-04,14787,
2013-05,14994,
2013-06,14248,
2013-07,14583,
2013-08,14537,
2013-09,14745,
2013-10,15246,
2013-11,15408,
2013-12,15685,
2014-01,15869,
2014-02,15790,
2014-03,15916,
2014-04,16033,
2014-05,16475,
2014-06,16710,
2014-07,16828,
2014-08,17397,
2014-09,17594,
2014-10,17685,
2014-11,18584,
