"",BBDE1.M.DE.Y.GUA1.P2XF13020.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF13020.BA.V.ABA.A_FLAGS
"","Turnover / At current prices, flows / Germany / Public sector construction and road construction - turnover from construction work / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 09:28:37,
1991-01,2.06,
1991-02,1.93,
1991-03,2.03,
1991-04,2.12,
1991-05,2.17,
1991-06,2.19,
1991-07,2.21,
1991-08,2.24,
1991-09,2.29,
1991-10,2.31,
1991-11,2.43,
1991-12,2.34,
1992-01,2.40,
1992-02,2.62,
1992-03,2.66,
1992-04,2.54,
1992-05,2.56,
1992-06,2.53,
1992-07,2.46,
1992-08,2.58,
1992-09,2.56,
1992-10,2.53,
1992-11,2.58,
1992-12,3.02,
1993-01,2.69,
1993-02,2.48,
1993-03,2.49,
1993-04,2.58,
1993-05,2.65,
1993-06,2.60,
1993-07,2.56,
1993-08,2.54,
1993-09,2.52,
1993-10,2.54,
1993-11,2.50,
1993-12,2.53,
1994-01,2.66,
1994-02,2.76,
1994-03,2.78,
1994-04,2.66,
1994-05,2.65,
1994-06,2.65,
1994-07,2.65,
1994-08,2.60,
1994-09,2.68,
1994-10,2.72,
1994-11,2.77,
1994-12,2.94,
1995-01,2.51,
1995-02,2.95,
1995-03,2.80,
1995-04,2.68,
1995-05,2.64,
1995-06,2.64,
1995-07,2.60,
1995-08,2.62,
1995-09,2.64,
1995-10,2.57,
1995-11,2.67,
1995-12,2.72,
1996-01,2.29,
1996-02,1.94,
1996-03,2.10,
1996-04,2.42,
1996-05,2.61,
1996-06,2.62,
1996-07,2.61,
1996-08,2.62,
1996-09,2.57,
1996-10,2.54,
1996-11,2.58,
1996-12,2.61,
1997-01,2.21,
1997-02,2.40,
1997-03,2.57,
1997-04,2.51,
1997-05,2.49,
1997-06,2.48,
1997-07,2.47,
1997-08,2.47,
1997-09,2.44,
1997-10,2.48,
1997-11,2.49,
1997-12,2.50,
1998-01,2.57,
1998-02,2.49,
1998-03,2.84,
1998-04,2.40,
1998-05,2.36,
1998-06,2.39,
1998-07,2.41,
1998-08,2.35,
1998-09,2.37,
1998-10,2.26,
1998-11,2.22,
1998-12,2.17,
1999-01,2.44,
1999-02,2.34,
1999-03,2.40,
1999-04,2.54,
1999-05,2.42,
1999-06,2.46,
1999-07,2.44,
1999-08,2.37,
1999-09,2.43,
1999-10,2.44,
1999-11,2.38,
1999-12,2.47,
2000-01,2.48,
2000-02,2.62,
2000-03,2.53,
2000-04,2.43,
2000-05,2.44,
2000-06,2.36,
2000-07,2.30,
2000-08,2.40,
2000-09,2.31,
2000-10,2.24,
2000-11,2.38,
2000-12,2.45,
2001-01,2.45,
2001-02,2.49,
2001-03,2.26,
2001-04,2.22,
2001-05,2.30,
2001-06,2.31,
2001-07,2.39,
2001-08,2.31,
2001-09,2.26,
2001-10,2.25,
2001-11,2.26,
2001-12,2.18,
2002-01,2.20,
