"",BBBPS.Q.DE.N.SG1100.I090.X.X.Z5.0000.Z01.E,BBBPS.Q.DE.N.SG1100.I090.X.X.Z5.0000.Z01.E_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-30 12:31:52,
2008-01,9.778,
2008-04,14.252,
2008-07,8.845,
2008-10,3.086,
2009-01,17.709,
2009-04,19.143,
2009-07,19.106,
2009-10,14.651,
2010-01,19.744,
2010-04,15.368,
2010-07,16.714,
2010-10,16.923,
2011-01,19.635,
2011-04,17.736,
2011-07,13.092,
2011-10,14.210,
2012-01,18.478,
2012-04,15.551,
2012-07,17.193,
2012-10,15.202,
2013-01,18.062,
2013-04,16.758,
2013-07,14.506,
2013-10,14.368,
2014-01,15.814,
2014-04,15.985,
2014-07,14.805,Provisional value
