"",BBK01.OEYJ03I,BBK01.OEYJ03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:42,
2002-01,15.172,
2002-04,15.153,
2002-07,15.063,
2002-10,14.708,
2003-01,14.672,
2003-04,14.046,
2003-07,14.439,
2003-10,17.931,
2004-01,18.639,
2004-04,19.257,
2004-07,19.943,
2004-10,21.414,
2005-01,22.628,
2005-04,23.303,
2005-07,24.347,
2005-10,25.125,
2006-01,26.106,
2006-04,27.718,
2006-07,28.807,
2006-10,28.880,
2007-01,29.666,
2007-04,30.636,
2007-07,31.558,
2007-10,32.230,
2008-01,33.607,
2008-04,36.720,
2008-07,38.409,
2008-10,36.450,
2009-01,39.516,
2009-04,40.286,
2009-07,38.783,
2009-10,39.084,
2010-01,40.541,
2010-04,35.299,
2010-07,41.591,
2010-10,41.575,
2011-01,41.953,
2011-04,43.783,
2011-07,43.567,
2011-10,40.081,
2012-01,40.931,
2012-04,37.814,
2012-07,40.794,
2012-10,38.488,
2013-01,41.992,
2013-04,39.376,
2013-07,30.271,
2013-10,30.076,
2014-01,30.966,
2014-04,30.305,
2014-07,30.198,
