"",BBK01.OEAF15H,BBK01.OEAF15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:58,
2002-01,7.134,
2002-04,7.242,
2002-07,7.011,
2002-10,6.786,
2003-01,6.517,
2003-04,6.619,
2003-07,6.779,
2003-10,6.555,
2004-01,6.341,
2004-04,6.264,
2004-07,6.271,
2004-10,6.129,
2005-01,6.039,
2005-04,6.053,
2005-07,6.093,
2005-10,5.898,
2006-01,5.772,
2006-04,5.838,
2006-07,5.827,
2006-10,5.697,
2007-01,5.405,
2007-04,5.317,
2007-07,5.505,
2007-10,5.626,
2008-01,5.330,
2008-04,5.257,
2008-07,5.293,
2008-10,5.373,
2009-01,5.099,
2009-04,5.233,
2009-07,5.364,
2009-10,5.145,
2010-01,5.049,
2010-04,5.246,
2010-07,5.231,
2010-10,5.168,
2011-01,5.404,
2011-04,5.334,
2011-07,5.463,
2011-10,5.361,
2012-01,5.308,
2012-04,5.282,
2012-07,5.254,
2012-10,5.485,
2013-01,4.225,
2013-04,4.315,
2013-07,4.512,
2013-10,4.460,
2014-01,4.298,
2014-04,4.460,
2014-07,4.494,
