"",BBK01.CEFZN0,BBK01.CEFZN0_FLAGS
"","Other accounts payable, excluding trade credits and advances                                          debtor: Rest of the world                  creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:32,
1999-01,11.3,
1999-04,16.3,
1999-07,17.6,
1999-10,15.7,
2000-01,20.3,
2000-04,20.5,
2000-07,23.3,
2000-10,24.9,
2001-01,25.1,
2001-04,26.7,
2001-07,26.7,
2001-10,27.5,
2002-01,28.1,
2002-04,28.7,
2002-07,29.1,
2002-10,29.3,
2003-01,28.4,
2003-04,25.7,
2003-07,24.4,
2003-10,34.0,
2004-01,31.5,
2004-04,30.9,
2004-07,30.0,
2004-10,25.3,
2005-01,24.8,
2005-04,23.7,
2005-07,22.9,
2005-10,46.9,
2006-01,47.7,
2006-04,48.6,
2006-07,54.0,
2006-10,47.6,
2007-01,47.8,
2007-04,49.3,
2007-07,49.5,
2007-10,44.4,
2008-01,48.8,
2008-04,49.4,
2008-07,50.5,
2008-10,50.4,
2009-01,51.7,
2009-04,49.9,
2009-07,50.3,
2009-10,46.6,
2010-01,47.3,
2010-04,47.9,
2010-07,46.7,
2010-10,47.7,
2011-01,47.6,
2011-04,49.9,
2011-07,50.7,
2011-10,48.9,
2012-01,50.0,
2012-04,49.5,
2012-07,49.4,
2012-10,48.8,
2013-01,50.0,
2013-04,49.2,
2013-07,47.9,
2013-10,52.9,
2014-01,52.5,
2014-04,51.4,
2014-07,52.1,
