"",BBK01.CELQ0C,BBK01.CELQ0C_FLAGS
"",short-term time deposits                              debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:01,
1999-01,-2.4,
1999-04,3.5,
1999-07,-0.8,
1999-10,7.7,
2000-01,-5.5,
2000-04,11.2,
2000-07,33.5,
2000-10,1.9,
2001-01,-33.8,
2001-04,-1.9,
2001-07,-2.4,
2001-10,-1.7,
2002-01,-6.7,
2002-04,1.6,
2002-07,-6.5,
2002-10,-2.1,
2003-01,0.4,
2003-04,4.2,
2003-07,-1.7,
2003-10,1.6,
2004-01,-0.9,
2004-04,3.7,
2004-07,-0.5,
2004-10,-1.6,
2005-01,-6.9,
2005-04,3.7,
2005-07,3.5,
2005-10,8.4,
2006-01,-4.5,
2006-04,24.1,
2006-07,10.3,
2006-10,0.2,
2007-01,-11.5,
2007-04,34.0,
2007-07,-25.1,
2007-10,11.7,
2008-01,-3.3,
2008-04,18.5,
2008-07,-10.2,
2008-10,-2.7,
2009-01,-20.0,
2009-04,18.7,
2009-07,-32.8,
2009-10,-1.4,
2010-01,0.1,
2010-04,-2.7,
2010-07,7.2,
2010-10,14.3,
2011-01,4.3,
2011-04,19.0,
2011-07,4.6,
2011-10,10.3,
2012-01,1.9,
2012-04,24.1,
2012-07,-2.4,
2012-10,-21.8,
2013-01,-9.3,
2013-04,0.9,
2013-07,2.8,
2013-10,12.1,
2014-01,3.2,
2014-04,7.5,
2014-07,7.6,
