"",BBK01.OEAE33M,BBK01.OEAE33M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:32,
2002-01,5.123,
2002-04,5.118,
2002-07,5.121,
2002-10,5.202,
2003-01,5.184,
2003-04,5.201,
2003-07,5.250,
2003-10,5.236,
2004-01,5.153,
2004-04,5.111,
2004-07,5.019,
2004-10,5.024,
2005-01,5.035,
2005-04,5.071,
2005-07,5.030,
2005-10,4.954,
2006-01,4.857,
2006-04,4.784,
2006-07,4.612,
2006-10,4.504,
2007-01,4.444,
2007-04,4.366,
2007-07,4.369,
2007-10,4.373,
2008-01,4.355,
2008-04,4.355,
2008-07,4.383,
2008-10,4.503,
2009-01,4.476,
2009-04,4.532,
2009-07,4.676,
2009-10,4.545,
2010-01,4.961,
2010-04,4.955,
2010-07,5.062,
2010-10,4.814,
2011-01,4.819,
2011-04,4.715,
2011-07,4.702,
2011-10,4.748,
2012-01,4.765,
2012-04,4.777,
2012-07,4.770,
2012-10,4.751,
2013-01,5.259,
2013-04,5.334,
2013-07,5.206,
2013-10,5.217,
2014-01,5.069,
2014-04,5.185,
2014-07,5.139,
