"",BBK01.OELB24V,BBK01.OELB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:59,
2002-01,0.025,
2002-04,0.026,
2002-07,0.029,
2002-10,0.066,
2003-01,0.079,
2003-04,0.091,
2003-07,0.127,
2003-10,0.131,
2004-01,0.136,
2004-04,0.146,
2004-07,0.138,
2004-10,0.139,
2005-01,0.143,
2005-04,0.143,
2005-07,0.141,
2005-10,0.165,
2006-01,0.166,
2006-04,0.177,
2006-07,0.179,
2006-10,0.180,
2007-01,0.165,
2007-04,0.161,
2007-07,0.166,
2007-10,0.156,
2008-01,0.153,
2008-04,0.157,
2008-07,0.138,
2008-10,0.142,
2009-01,0.139,
2009-04,0.140,
2009-07,0.098,
2009-10,0.097,
2010-01,0.094,
2010-04,0.089,
2010-07,0.087,
2010-10,0.083,
2011-01,0.087,
2011-04,0.089,
2011-07,0.089,
2011-10,0.099,
2012-01,0.105,
2012-04,0.106,
2012-07,0.108,
2012-10,0.104,
2013-01,0.112,
2013-04,0.113,
2013-07,0.107,
2013-10,0.105,
2014-01,0.099,
2014-04,0.099,
2014-07,0.093,
