"",BBK01.QUF781,BBK01.QUF781_FLAGS
"",Foreign branches: Short-term loans and advances to non-residents / Malta / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:45:24,
2004-12,0.093,
2005-01,0.103,
2005-02,0.117,
2005-03,0.117,
2005-04,0.178,
2005-05,0.111,
2005-06,0.265,
2005-07,0.250,
2005-08,0.256,
2005-09,0.273,
2005-10,0.331,
2005-11,0.307,
2005-12,0.138,
2006-01,0.111,
2006-02,0.159,
2006-03,0.167,
2006-04,0.214,
2006-05,0.215,
2006-06,0.128,
2006-07,0.097,
2006-08,0.080,
2006-09,0.052,
2006-10,0.051,
2006-11,0.044,
2006-12,0.067,
2007-01,0.094,
2007-02,0.083,
2007-03,0.085,
2007-04,0.196,
2007-05,0.147,
2007-06,0.144,
2007-07,0.139,
2007-08,0.232,
2007-09,0.296,
2007-10,0.324,
2007-11,0.327,
2007-12,0.316,
2008-01,0.243,
2008-02,0.238,
2008-03,0.226,
2008-04,0.139,
2008-05,0.133,
2008-06,0.131,
2008-07,0.310,
2008-08,0.311,
2008-09,0.161,
2008-10,0.142,
2008-11,0.132,
2008-12,0.133,
2009-01,0.123,
2009-02,0.126,
2009-03,0.115,
2009-04,0.115,
2009-05,0.115,
2009-06,0.115,
2009-07,0.086,
2009-08,0.196,
2009-09,0.187,
2009-10,0.188,
2009-11,0.098,
2009-12,0.071,
2010-01,0.050,
2010-02,0.052,
2010-03,0.101,
2010-04,0.097,
2010-05,0.087,
2010-06,0.139,
2010-07,0.123,
2010-08,0.096,
2010-09,0.095,
2010-10,0.092,
2010-11,0.026,
2010-12,0.026,
2011-01,0.030,
2011-02,0.030,
2011-03,0.001,
2011-04,0.006,
2011-05,0.003,
2011-06,0.025,
2011-07,0.016,
2011-08,0.017,
2011-09,0.020,
2011-10,0.016,
2011-11,0.387,
2011-12,0.217,
2012-01,0.459,
2012-02,0.451,
2012-03,0.454,
2012-04,0.449,
2012-05,0.481,
2012-06,0.058,
2012-07,0.063,
2012-08,0.058,
2012-09,0.057,
2012-10,0.055,
2012-11,0.047,
2012-12,0.051,
2013-01,0.047,
2013-02,0.187,
2013-03,0.192,
2013-04,0.203,
2013-05,0.574,
2013-06,0.581,
2013-07,0.573,
2013-08,0.580,
2013-09,0.511,
2013-10,0.520,
2013-11,0.317,
2013-12,0.317,
2014-01,0.106,
2014-02,0.110,
2014-03,0.129,
2014-04,0.140,
2014-05,0.142,
2014-06,0.188,
2014-07,0.171,
2014-08,0.146,
2014-09,0.135,
2014-10,0.144,
2014-11,0.143,
