"",BBK01.OEAD18O,BBK01.OEAD18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:46,
2002-01,0.407,
2002-04,0.436,
2002-07,0.427,
2002-10,0.416,
2003-01,0.440,
2003-04,0.415,
2003-07,0.373,
2003-10,0.339,
2004-01,0.344,
2004-04,0.333,
2004-07,0.315,
2004-10,0.298,
2005-01,0.325,
2005-04,0.346,
2005-07,0.321,
2005-10,0.293,
2006-01,0.296,
2006-04,0.308,
2006-07,0.345,
2006-10,0.304,
2007-01,0.307,
2007-04,0.300,
2007-07,0.342,
2007-10,0.423,
2008-01,0.351,
2008-04,0.351,
2008-07,0.316,
2008-10,0.306,
2009-01,0.285,
2009-04,0.272,
2009-07,0.251,
2009-10,0.237,
2010-01,0.214,
2010-04,0.327,
2010-07,0.364,
2010-10,0.292,
2011-01,0.294,
2011-04,0.287,
2011-07,0.290,
2011-10,0.269,
2012-01,0.278,
2012-04,0.279,
2012-07,0.291,
2012-10,0.256,
2013-01,0.270,
2013-04,0.275,
2013-07,0.275,
2013-10,0.244,
2014-01,0.236,
2014-04,0.248,
2014-07,0.235,
