"",BBEX3.M.SEK.USD.CA.AB.A02,BBEX3.M.SEK.USD.CA.AB.A02_FLAGS
"",Exchange rates for the US dollar in Sweden / USD 1 = SEK ... (selling),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:51,
1972-01,4.8293,
1972-02,4.8004,
1972-03,4.7781,
1972-04,4.7895,
1972-05,4.7599,
1972-06,4.7463,
1972-07,4.7370,
1972-08,4.7325,
1972-09,4.7345,
1972-10,4.7501,
1972-11,4.7517,
1972-12,4.7497,
1973-01,4.7478,
1973-02,4.5896,
1973-03,4.4855,
1973-04,4.5191,
1973-05,4.4443,
1973-06,4.2232,
1973-07,4.0560,
1973-08,4.1659,
1973-09,4.2198,
1973-10,4.1937,
1973-11,4.3564,
1973-12,4.5481,
1974-01,4.8119,
1974-02,4.6975,
1974-03,4.5869,
1974-04,4.4150,
1974-05,4.2910,
1974-06,4.3864,
1974-07,4.3930,
1974-08,4.4370,
1974-09,4.4936,
1974-10,4.4091,
1974-11,4.3310,
1974-12,4.2130,
1975-01,4.0500,
1975-02,3.9940,
1975-03,3.9330,
1975-04,3.9870,
1975-05,3.9450,
1975-06,3.9306,
1975-07,4.1320,
1975-08,4.3290,
1975-09,4.4520,
1975-10,4.4060,
1975-11,4.3945,
1975-12,4.4176,
1976-01,4.3858,
1976-02,4.3808,
1976-03,4.4092,
1976-04,4.4098,
1976-05,4.4191,
1976-06,4.4569,
1976-07,4.4751,
1976-08,4.4183,
1976-09,4.3617,
1976-10,4.2630,
1976-11,4.2240,
1976-12,4.1686,
1977-01,4.2218,
1977-02,4.2551,
1977-03,4.2235,
1977-04,4.3517,
1977-05,4.3599,
1977-06,4.4230,
1977-07,4.3581,
1977-08,4.4600,
1977-09,4.8622,
1977-10,4.8044,
1977-11,4.8008,
1977-12,4.7580,
1978-01,4.6730,
1978-02,4.6485,
1978-03,4.6144,
1978-04,4.6076,
1978-05,4.6634,
1978-06,4.6180,
1978-07,4.5471,
1978-08,4.4454,
1978-09,4.4311,
1978-10,4.2976,
1978-11,4.3752,
1978-12,4.3903,
1979-01,4.3526,
1979-02,4.3735,
1979-03,4.3733,
1979-04,4.3968,
1979-05,4.4013,
1979-06,4.3496,
1979-07,4.2280,
1979-08,4.2272,
1979-09,4.2005,
1979-10,4.2141,
1979-11,4.2335,
1979-12,4.1879,
1980-01,4.1540,
1980-02,4.1763,
1980-03,4.3483,
1980-04,4.3726,
1980-05,4.2226,
1980-06,4.1749,
1980-07,4.3144,
1980-08,4.1835,
1980-09,4.1626,
1980-10,4.1978,
1980-11,4.3098,
1980-12,4.4157,
1981-01,4.4523,
1981-02,4.6179,
1981-03,4.6148,
1981-04,4.6865,
1981-05,4.9001,
1981-06,5.0556,
1981-07,5.1883,
1981-08,5.3094,
1981-09,5.4299,
1981-10,5.5448,
1981-11,5.4912,
1981-12,5.5506,
1982-01,5.6271,
1982-02,5.7666,
1982-03,5.8400,
1982-04,5.9211,
1982-05,5.7837,
1982-06,6.0205,
1982-07,6.1217,
1982-08,6.1443,
1982-09,6.2285,
1982-10,7.1613,
1982-11,7.5140,
1982-12,7.3598,
1983-01,7.3286,
1983-02,7.4398,
1983-03,7.4830,
1983-04,7.4909,
1983-05,7.5024,
1983-06,7.6405,
1983-07,7.6933,
1983-08,7.8671,
1983-09,7.8826,
1983-10,7.7877,
1983-11,7.9208,
1983-12,8.0638,
1984-01,8.1768,
1984-02,8.0165,
1984-03,7.7367,
1984-04,7.8388,
1984-05,8.0879,
1984-06,8.1059,
1984-07,8.3064,
1984-08,8.3629,
1984-09,8.5785,
1984-10,8.6925,
1984-11,8.5839,
1984-12,8.8525,
1985-01,9.0713,
1985-02,9.3220,
1985-03,9.4245,
1985-04,8.9676,
1985-05,9.0095,
1985-06,8.8586,
1985-07,8.5001,
1985-08,8.3069,
1985-09,8.4020,
1985-10,7.9615,
1985-11,7.8121,
1985-12,7.6897,
1986-01,7.5973,
1986-02,7.4070,
1986-03,7.2413,
1986-04,7.2481,
1986-05,7.1600,
1986-06,7.2160,
1986-07,7.0707,
1986-08,6.9350,
1986-09,6.9183,
1986-10,6.8866,
1986-11,6.9688,
1986-12,6.9217,
1987-01,6.6091,
1987-02,6.5143,
1987-03,6.4199,
1987-04,6.3205,
1987-05,6.2538,
1987-06,6.3496,
1987-07,6.4413,
1987-08,6.4912,
1987-09,6.3831,
1987-10,6.3609,
1987-11,6.0749,
1987-12,5.9551,
1988-01,5.9749,
1988-02,6.0561,
1988-03,5.9554,
1988-04,5.8930,
1988-05,5.9089,
1988-06,6.0875,
1988-07,6.3436,
1988-08,6.4818,
1988-09,6.4448,
1988-10,6.2832,
1988-11,6.0941,
1988-12,6.0839,
1989-01,6.2583,
1989-02,6.3226,
1989-03,6.3829,
1989-04,6.3698,
1989-05,6.5950,
1989-06,6.6931,
1989-07,6.4750,
1989-08,6.5451,
1989-09,6.6120,
1989-10,6.4559,
1989-11,6.4302,
1989-12,6.2987,
1990-01,6.1871,
1990-02,6.1178,
1990-03,6.1719,
1990-04,6.1264,
1990-05,6.0589,
1990-06,6.1001,
1990-07,5.9605,
1990-08,5.7832,
1990-09,5.7740,
1990-10,5.6513,
1990-11,5.5735,
1990-12,5.6225,
1991-01,5.6468,
1991-02,5.5411,
1991-03,5.8868,
1991-04,6.1286,
1991-05,6.1519,
1991-06,6.4334,
1991-07,6.4921,
1991-08,6.3535,
1991-09,6.1925,
1991-10,6.1740,
1991-11,5.9502,
1991-12,5.7668,
1992-01,5.7577,
1992-02,5.8874,
1992-03,6.0419,
1992-04,5.9779,
1992-05,5.8530,
1992-06,5.7036,
1992-07,5.4177,
1992-08,5.3027,
1992-09,5.3845,
1992-10,5.5949,
1992-11,6.2411,comment
1992-12,6.8901,
1993-01,7.2916,
1993-02,7.5719,
1993-03,7.7829,
1993-04,7.4840,
1993-05,7.3688,
1993-06,7.4448,
1993-07,7.9852,
1993-08,8.0827,
1993-09,8.0440,
1993-10,8.0373,
1993-11,8.2857,
1993-12,8.3767,
1994-01,8.1474,
1994-02,7.9950,
1994-03,7.9318,
1994-04,7.9017,
1994-05,7.7365,
1994-06,7.8258,
1994-07,7.7789,
1994-08,7.7566,
1994-09,7.5553,
1994-10,7.2819,
1994-11,7.3652,
1994-12,7.5386,
1995-01,7.4836,
1995-02,7.4044,
1995-03,7.2837,
1995-04,7.3617,
1995-05,7.3079,
1995-06,7.2771,
1995-07,7.1974,
1995-08,7.2459,
1995-09,7.1600,
1995-10,6.8558,
1995-11,6.6151,
1995-12,6.6475,
1996-01,6.7397,
1996-02,6.8990,
1996-03,6.7515,
1996-04,6.7401,
1996-05,6.8170,
1996-06,6.6986,
1996-07,6.6588,
1996-08,6.6365,
1996-09,6.6595,
1996-10,6.6170,
1996-11,6.6398,
1996-12,6.8324,
1997-01,7.0770,
1997-02,7.4174,
1997-03,7.6721,
1997-04,7.6964,
1997-05,7.6911,
1997-06,7.7623,
1997-07,7.8226,
1997-08,8.0142,
1997-09,7.7177,
1997-10,7.5910,
1997-11,7.5778,
1997-12,7.8025,
1998-01,8.0268,
1998-02,8.0963,
1998-03,7.9840,
1998-04,7.8418,
1998-05,7.7089,
1998-06,7.9256,
1998-07,8.0034,
1998-08,8.1454,
1998-09,7.9292,
1998-10,7.8683,
1998-11,8.0119,
1998-12,8.0721,
1999-01,7.8418,
1999-02,7.9634,
1999-03,8.2305,
1999-04,8.3419,
1999-05,8.4603,
1999-06,8.5244,
1999-07,8.4750,
1999-08,8.2743,
1999-09,8.2375,
1999-10,8.1637,
1999-11,8.3553,
1999-12,8.5010,
2000-01,8.4880,
2000-02,8.6637,
2000-03,8.7121,
2000-04,8.7383,
2000-05,9.1014,
2000-06,8.7642,
2000-07,8.9521,
2000-08,9.2877,
2000-09,9.6744,
2000-10,9.9771,
2000-11,10.0955,
2000-12,9.6786,
2001-01,9.4844,
2001-02,9.7532,
2001-03,10.0491,
2001-04,10.2219,
2001-05,10.3579,
2001-06,10.7928,
2001-07,10.7841,
2001-08,10.3518,
2001-09,10.6284,
2001-10,10.5805,
2001-11,10.6140,
2001-12,10.5769,
2002-01,10.4573,
2002-02,10.5778,
2002-03,10.3640,
2002-04,10.3405,
2002-05,10.0782,
2002-06,9.5930,
2002-07,9.3852,
2002-08,9.4991,
2002-09,9.3854,
2002-10,9.3143,
2002-11,9.1005,
2002-12,8.9808,
2003-01,8.6736,
2003-02,8.5280,
2003-03,8.5648,
2003-04,8.4721,
2003-05,7.9579,
2003-06,7.8458,
2003-07,8.1157,
2003-08,8.3239,
2003-09,8.1192,
2003-10,7.7280,
2003-11,7.7181,
2003-12,7.3982,
2004-01,7.2843,
2004-02,7.2949,
2004-03,7.5595,
2004-04,7.6851,
2004-05,7.6411,
2004-06,7.5682,
2004-07,7.5281,
2004-08,7.5794,
2004-09,7.4834,
2004-10,7.2907,
2004-11,6.9740,
2004-12,6.7380,
2005-01,6.9346,
2005-02,7.0128,
2005-03,6.9105,
2005-04,7.1146,
2005-05,7.2832,
2005-06,7.6429,
2005-07,7.8631,
2005-08,7.6352,
2005-09,7.6565,
2005-10,7.8718,
2005-11,8.1432,
2005-12,7.9874,
2006-01,7.7301,
2006-02,7.8540,
2006-03,7.8524,
2006-04,7.6414,
2006-05,7.3474,
2006-06,7.3290,
2006-07,7.2952,
2006-08,7.2200,
2006-09,7.3137,
2006-10,7.3709,
2006-11,7.1045,
2006-12,6.8725,
2007-01,7.0173,
2007-02,7.0579,
2007-03,7.0574,
2007-04,6.8739,
2007-05,6.8473,
2007-06,6.9996,
2007-07,6.7342,
2007-08,6.8785,
2007-09,6.7250,
2007-10,6.4883,
2007-11,6.3637,
2007-12,6.5062,
2008-01,6.4525,
2008-02,6.3876,
2008-03,6.0984,
2008-04,5.9828,
2008-05,6.0263,
2008-06,6.0608,
2008-07,6.0332,
2008-08,6.3068,
2008-09,6.6855,
2008-10,7.4402,
2008-11,7.9901,
2008-12,8.0388,
2009-01,8.1414,
2009-02,8.5546,
2009-03,8.6047,
2009-04,8.2881,
2009-05,7.7958,
2009-06,7.7886,
2009-07,7.7346,
2009-08,7.2020,
2009-09,7.0425,
2009-10,6.9888,
2009-11,6.9613,
2009-12,7.1594,
2010-01,7.1761,
2010-02,7.3056,
2010-03,7.2001,
2010-04,7.2410,
2010-05,7.7343,
2010-06,7.8718,
2010-07,7.4895,
2010-08,7.3386,
2010-09,7.1080,
2010-10,6.7106,
2010-11,6.8509,
2010-12,6.8933,
2011-01,6.7110,
2011-02,6.4774,
2011-03,6.3855,
2011-04,6.2499,
2011-05,6.2733,
2011-06,6.3743,
2011-07,6.4323,
2011-08,6.4318,
2011-09,6.6765,
2011-10,6.6915,
2011-11,6.7799,
2011-12,6.8805,
2012-01,6.8840,
2012-02,6.7056,
2012-03,6.7648,
2012-04,6.7646,
2012-05,7.0638,
2012-06,7.1123,
2012-07,6.9901,
2012-08,6.7217,
2012-09,6.6488,
2012-10,6.6784,
2012-11,6.7449,
2012-12,6.6499,
2013-01,6.5254,
2013-02,6.4041,
2013-03,6.4698,
2013-04,6.5242,
2013-05,6.6530,
2013-06,6.6119,
2013-07,6.6550,
2013-08,6.5702,
2013-09,6.4884,
2013-10,6.4461,
2013-11,6.6194,
2013-12,6.5760,
2014-01,6.5188,
2014-02,6.5327,
2014-03,6.4490,
2014-04,6.5749,
2014-05,6.6047,
2014-06,6.7195,
2014-07,6.8510,
2014-08,6.9340,
2014-09,7.1580,
2014-10,7.2721,
2014-11,7.4396,
2014-12,7.6391,
2015-01,8.1446,
"","Source: Skandinaviska Enskilda Banken, Stockholm",
"",Methodology: Calculated on the basis of daily rates.,
