"",BBK01.CEFFI5,BBK01.CEFFI5_FLAGS
"",long-term loans  debtor: Households (incl. NPISH) creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:58,
1999-01,3.7,
1999-04,11.7,
1999-07,7.9,
1999-10,9.9,
2000-01,9.7,
2000-04,13.2,
2000-07,10.1,
2000-10,12.6,
2001-01,13.6,
2001-04,10.7,
2001-07,13.5,
2001-10,11.8,
2002-01,11.9,
2002-04,7.9,
2002-07,7.7,
2002-10,7.8,
2003-01,6.3,
2003-04,8.0,
2003-07,7.8,
2003-10,8.0,
2004-01,7.9,
2004-04,8.4,
2004-07,7.7,
2004-10,8.1,
2005-01,7.9,
2005-04,8.1,
2005-07,8.4,
2005-10,8.4,
2006-01,9.0,
2006-04,8.2,
2006-07,8.4,
2006-10,8.6,
2007-01,9.3,
2007-04,10.9,
2007-07,8.2,
2007-10,8.4,
2008-01,8.9,
2008-04,9.3,
2008-07,8.7,
2008-10,7.7,
2009-01,8.3,
2009-04,8.7,
2009-07,8.3,
2009-10,8.3,
2010-01,8.3,
2010-04,8.4,
2010-07,8.4,
2010-10,8.5,
2011-01,8.8,
2011-04,9.2,
2011-07,9.5,
2011-10,10.3,
2012-01,10.5,
2012-04,10.9,
2012-07,11.0,
2012-10,10.6,
2013-01,10.6,
2013-04,10.9,
2013-07,11.2,
2013-10,11.2,
2014-01,11.2,
2014-04,11.4,
2014-07,11.7,
