"",BBFB1.Q.N.DE.NL.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:08,
1991-01,951.791,
1991-04,969.109,
1991-07,1210.770,
1991-10,1057.257,
1992-01,967.426,
1992-04,989.814,
1992-07,1173.906,
1992-10,1072.737,
1993-01,1012.691,
1993-04,1130.558,
1993-07,1147.413,
1993-10,1068.628,
1994-01,1101.250,
1994-04,1046.469,
1994-07,1134.545,
1994-10,1076.893,
1995-01,1180.275,
1995-04,1227.812,
1995-07,1386.597,
1995-10,1245.791,
1996-01,1220.237,
1996-04,1193.742,
1996-07,1290.465,
1996-10,1177.586,
1997-01,1296.862,
1997-04,1351.702,
1997-07,1579.491,
1997-10,1383.664,
1998-01,1430.655,
1998-04,1627.032,
1998-07,1585.784,
1998-10,1555.199,
1999-01,1290.011,
1999-04,1655.075,
1999-07,1656.100,
1999-10,1765.743,
2000-01,1661.892,
2000-04,1797.272,
2000-07,1758.100,
2000-10,2025.641,
2001-01,1607.376,
2001-04,1667.114,
2001-07,1840.249,
2001-10,1785.941,
2002-01,1458.514,
2002-04,1573.987,
2002-07,1786.898,
2002-10,1815.938,
2003-01,1465.842,
2003-04,1597.533,
2003-07,1660.110,
2003-10,1758.826,
2004-01,1562.466,
2004-04,1784.048,
2004-07,1983.895,
2004-10,2106.833,
2005-01,1839.988,
2005-04,2068.590,
2005-07,2151.425,
2005-10,2523.781,
2006-01,2061.579,
2006-04,2181.482,
2006-07,2334.642,
2006-10,2405.696,
2007-01,2035.922,
2007-04,2239.422,
2007-07,2393.438,
2007-10,2551.451,
2008-01,2263.672,
2008-04,2536.597,
2008-07,2674.153,
2008-10,2828.108,
2009-01,2306.177,
2009-04,2468.889,
2009-07,2681.645,
2009-10,2784.578,
2010-01,2372.235,
2010-04,2572.964,
2010-07,2797.997,
2010-10,2870.636,
2011-01,2560.534,
2011-04,2689.344,
2011-07,2973.085,
2011-10,3055.142,
2012-01,2738.122,
2012-04,2903.447,
2012-07,3106.082,
2012-10,3027.571,
2013-01,2746.249,
2013-04,3038.309,
2013-07,3230.398,
2013-10,3818.446,
2014-01,2797.930,Provisional value
2014-04,2919.365,Provisional value
2014-07,3200.906,Provisional value
