"",BBK01.CEBE2Q,BBK01.CEBE2Q_FLAGS
"",short-term loans debtor: Domestic financial corporations                    creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:32,
1991-01,20.8,
1991-04,23.4,
1991-07,23.5,
1991-10,22.8,
1992-01,23.4,
1992-04,25.4,
1992-07,27.0,
1992-10,27.9,
1993-01,28.6,
1993-04,30.3,
1993-07,30.2,
1993-10,30.3,
1994-01,32.0,
1994-04,33.8,
1994-07,34.0,
1994-10,33.8,
1995-01,36.2,
1995-04,36.7,
1995-07,35.7,
1995-10,37.5,
1996-01,41.8,
1996-04,44.0,
1996-07,42.2,
1996-10,49.7,
1997-01,55.7,
1997-04,61.7,
1997-07,56.5,
1997-10,61.6,
1998-01,66.7,
1998-04,73.9,
1998-07,67.8,
1998-10,67.7,
1999-01,78.7,
1999-04,91.4,
1999-07,80.6,
1999-10,87.7,
2000-01,123.7,
2000-04,141.3,
2000-07,135.8,
2000-10,133.1,
2001-01,151.2,
2001-04,145.7,
2001-07,149.2,
2001-10,136.4,
2002-01,132.3,
2002-04,127.9,
2002-07,130.7,
2002-10,128.2,
2003-01,149.4,
2003-04,148.3,
2003-07,152.0,
2003-10,144.3,
2004-01,156.3,
2004-04,146.2,
2004-07,143.9,
2004-10,141.3,
2005-01,134.9,
2005-04,137.3,
2005-07,162.5,
2005-10,150.7,
2006-01,180.7,
2006-04,191.2,
2006-07,195.4,
2006-10,173.2,
2007-01,196.1,
2007-04,213.8,
2007-07,215.1,
2007-10,193.3,
2008-01,228.3,
2008-04,237.6,
2008-07,231.0,
2008-10,234.7,
2009-01,254.7,
2009-04,264.4,
2009-07,250.2,
2009-10,269.1,
2010-01,239.8,
2010-04,275.9,
2010-07,277.2,
2010-10,279.0,
2011-01,283.1,
2011-04,329.9,
2011-07,379.2,
2011-10,353.2,
2012-01,381.9,
2012-04,419.0,
2012-07,403.6,
2012-10,389.6,
2013-01,426.0,
2013-04,479.4,
2013-07,243.3,
2013-10,221.5,
2014-01,238.1,
