"",BBK01.OEGB24I,BBK01.OEGB24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:07,
2002-01,7.568,
2002-04,7.495,
2002-07,7.197,
2002-10,7.688,
2003-01,7.406,
2003-04,7.301,
2003-07,7.177,
2003-10,6.716,
2004-01,6.502,
2004-04,6.388,
2004-07,5.971,
2004-10,5.825,
2005-01,5.684,
2005-04,5.419,
2005-07,5.767,
2005-10,5.542,
2006-01,4.545,
2006-04,4.958,
2006-07,4.384,
2006-10,4.443,
2007-01,3.732,
2007-04,3.448,
2007-07,3.174,
2007-10,3.285,
2008-01,3.093,
2008-04,2.460,
2008-07,2.284,
2008-10,2.250,
2009-01,2.141,
2009-04,2.327,
2009-07,2.317,
2009-10,2.275,
2010-01,2.231,
2010-04,2.266,
2010-07,2.309,
2010-10,2.384,
2011-01,2.531,
2011-04,2.489,
2011-07,1.801,
2011-10,1.713,
2012-01,1.729,
2012-04,1.697,
2012-07,1.636,
2012-10,1.562,
2013-01,1.375,
2013-04,1.344,
2013-07,1.329,
2013-10,1.347,
2014-01,1.341,
2014-04,1.420,
2014-07,1.414,
