"",BBK01.OELI09V,BBK01.OELI09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:21,
2002-01,0.323,
2002-04,0.319,
2002-07,0.333,
2002-10,0.313,
2003-01,0.284,
2003-04,0.271,
2003-07,0.244,
2003-10,0.236,
2004-01,0.225,
2004-04,0.223,
2004-07,0.229,
2004-10,0.261,
2005-01,0.274,
2005-04,0.274,
2005-07,0.253,
2005-10,0.241,
2006-01,0.250,
2006-04,0.271,
2006-07,0.273,
2006-10,0.310,
2007-01,0.323,
2007-04,0.298,
2007-07,0.305,
2007-10,0.310,
2008-01,0.308,
2008-04,0.294,
2008-07,0.301,
2008-10,0.328,
2009-01,0.331,
2009-04,0.367,
2009-07,0.360,
2009-10,0.383,
2010-01,0.407,
2010-04,0.382,
2010-07,0.355,
2010-10,0.337,
2011-01,0.307,
2011-04,0.339,
2011-07,0.348,
2011-10,0.310,
2012-01,0.302,
2012-04,0.289,
2012-07,0.290,
2012-10,0.288,
2013-01,0.296,
2013-04,0.290,
2013-07,0.245,
2013-10,0.250,
2014-01,0.238,
2014-04,0.240,
2014-07,0.253,
