"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:53,
1991-01,-0.274,
1991-04,4.385,
1991-07,-1.906,
1991-10,0.487,
1992-01,-0.481,
1992-04,0.290,
1992-07,-1.461,
1992-10,0.987,
1993-01,-2.446,
1993-04,-0.301,
1993-07,5.270,
1993-10,1.913,
1994-01,14.259,
1994-04,-12.750,
1994-07,4.950,
1994-10,-13.844,
1995-01,9.183,
1995-04,-5.116,
1995-07,-8.991,
1995-10,-3.899,
1996-01,-5.781,
1996-04,-22.252,
1996-07,-12.282,
1996-10,-36.291,
1997-01,20.273,
1997-04,-44.270,
1997-07,10.467,
1997-10,-89.253,
1998-01,-10.210,
1998-04,-28.512,
1998-07,26.120,
1998-10,7.100,
1999-01,-10.202,
1999-04,-41.854,
1999-07,-44.596,
1999-10,-37.825,
2000-01,13.067,
2000-04,33.444,
2000-07,-78.290,
2000-10,-100.319,
2001-01,-40.768,
2001-04,-239.756,
2001-07,-81.826,
2001-10,-17.333,
2002-01,68.318,
2002-04,-24.484,
2002-07,1.256,
2002-10,-16.984,
2003-01,12.534,
2003-04,57.366,
2003-07,-37.966,
2003-10,7.969,
2004-01,15.951,
2004-04,-0.505,
2004-07,-21.284,
2004-10,-75.846,
2005-01,19.080,
2005-04,-5.544,
2005-07,0.309,
2005-10,4.192,
2006-01,-4.144,
2006-04,-13.630,
2006-07,-25.151,
2006-10,-8.799,
2007-01,-25.336,
2007-04,-32.535,
2007-07,-91.035,
2007-10,-13.897,
2008-01,-59.310,
2008-04,49.981,
2008-07,53.053,
2008-10,-51.904,
2009-01,152.231,
2009-04,252.874,
2009-07,58.527,
2009-10,21.162,
2010-01,-45.831,
2010-04,-7.659,
2010-07,-3.714,
2010-10,10.761,
2011-01,3.960,
2011-04,-26.634,
2011-07,-36.763,
2011-10,14.722,
2012-01,1.628,
2012-04,-49.668,
2012-07,-18.798,
2012-10,-133.551,
2013-01,-28.243,
2013-04,-15.720,
2013-07,-103.785,
2013-10,3.070,
2014-01,12.413,Provisional value
2014-04,-40.589,Provisional value
2014-07,-43.375,Provisional value
2014-10,-59.916,Provisional value
