"",BBK01.CEWK0N,BBK01.CEWK0N_FLAGS
"",Net acquisition of financial assets Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:42,
1991-01,0.9,
1991-04,10.3,
1991-07,18.4,
1991-10,3.2,
1992-01,-19.4,
1992-04,6.5,
1992-07,53.7,
1992-10,-27.7,
1993-01,11.9,
1993-04,1.3,
1993-07,31.7,
1993-10,-9.3,
1994-01,-0.2,
1994-04,9.8,
1994-07,19.4,
1994-10,-25.7,
1995-01,7.5,
1995-04,11.9,
1995-07,29.8,
1995-10,-9.2,
1996-01,2.0,
1996-04,27.0,
1996-07,10.1,
1996-10,-28.7,
1997-01,5.4,
1997-04,11.5,
1997-07,-1.8,
1997-10,-10.3,
1998-01,-4.4,
1998-04,21.3,
1998-07,37.9,
1998-10,-42.7,
1999-01,-49.6,
1999-04,22.0,
1999-07,0.7,
1999-10,-34.2,
2000-01,-5.5,
2000-04,16.6,
2000-07,-66.0,
2000-10,-22.4,
2001-01,17.7,
2001-04,23.1,
2001-07,-43.4,
2001-10,-3.5,
2002-01,-1.4,
2002-04,12.1,
2002-07,-16.4,
2002-10,-17.1,
2003-01,-47.5,
2003-04,-18.3,
2003-07,-7.6,
2003-10,18.3,
2004-01,-8.9,
2004-04,-59.7,
2004-07,-38.5,
2004-10,-22.5,
2005-01,-21.4,
2005-04,-54.7,
2005-07,-10.8,
2005-10,-2.3,
2006-01,-92.4,
2006-04,-36.0,
2006-07,-41.4,
2006-10,-102.7,
2007-01,-31.1,
2007-04,-37.6,
2007-07,-107.0,
2007-10,-118.9,
2008-01,-41.9,
2008-04,-34.2,
2008-07,-36.8,
2008-10,16.8,
2009-01,-28.3,
2009-04,-72.0,
2009-07,-35.4,
2009-10,-24.8,
2010-01,-37.8,
2010-04,-9.8,
2010-07,-68.5,
2010-10,-58.7,
2011-01,-122.3,
2011-04,-38.6,
2011-07,52.9,
2011-10,-47.5,
2012-01,-59.5,
2012-04,-8.4,
2012-07,-41.6,
2012-10,-90.5,
2013-01,-33.1,
2013-04,-27.8,
2013-07,-140.1,
2013-10,-48.0,
2014-01,-28.4,
