"",BBK01.OEXB20O,BBK01.OEXB20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:15,
2002-01,-10.517,
2002-04,-10.842,
2002-07,-11.194,
2002-10,-11.859,
2003-01,-12.184,
2003-04,-12.608,
2003-07,-13.149,
2003-10,-13.656,
2004-01,-13.956,
2004-04,-15.116,
2004-07,-18.574,
2004-10,-19.032,
2005-01,2.165,
2005-04,2.203,
2005-07,2.229,
2005-10,2.251,
2006-01,2.241,
2006-04,2.134,
2006-07,2.162,
2006-10,2.205,
2007-01,2.208,
2007-04,2.212,
2007-07,2.219,
2007-10,2.195,
2008-01,2.201,
2008-04,2.225,
2008-07,2.213,
2008-10,2.196,
2009-01,2.253,
2009-04,2.273,
2009-07,2.302,
2009-10,2.305,
2010-01,2.323,
2010-04,2.321,
2010-07,2.327,
2010-10,2.334,
2011-01,2.354,
2011-04,2.364,
2011-07,2.398,
2011-10,2.384,
2012-01,2.415,
2012-04,2.456,
2012-07,2.491,
2012-10,2.525,
2013-01,2.558,
2013-04,2.611,
2013-07,2.660,
2013-10,2.669,
2014-01,2.715,
2014-04,2.769,
2014-07,2.804,
