"",BBK01.OELB03V,BBK01.OELB03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:50,
2002-01,0.465,
2002-04,0.446,
2002-07,0.431,
2002-10,0.414,
2003-01,0.398,
2003-04,0.374,
2003-07,0.332,
2003-10,0.317,
2004-01,0.313,
2004-04,0.298,
2004-07,0.294,
2004-10,0.296,
2005-01,0.273,
2005-04,0.256,
2005-07,0.247,
2005-10,0.244,
2006-01,0.237,
2006-04,0.237,
2006-07,0.231,
2006-10,0.212,
2007-01,0.207,
2007-04,0.213,
2007-07,0.214,
2007-10,0.202,
2008-01,0.199,
2008-04,0.201,
2008-07,0.216,
2008-10,0.214,
2009-01,0.215,
2009-04,0.221,
2009-07,0.225,
2009-10,0.229,
2010-01,0.234,
2010-04,0.252,
2010-07,0.263,
2010-10,0.258,
2011-01,0.262,
2011-04,0.269,
2011-07,0.280,
2011-10,0.272,
2012-01,0.299,
2012-04,0.362,
2012-07,0.400,
2012-10,0.406,
2013-01,0.412,
2013-04,0.426,
2013-07,0.442,
2013-10,0.454,
2014-01,0.461,
2014-04,0.466,
2014-07,0.484,
