"",BBK01.OEAN05U,BBK01.OEAN05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:21,
2002-01,2.595,
2002-04,2.601,
2002-07,2.578,
2002-10,2.645,
2003-01,2.615,
2003-04,2.623,
2003-07,2.507,
2003-10,2.519,
2004-01,2.423,
2004-04,2.377,
2004-07,2.321,
2004-10,2.307,
2005-01,2.302,
2005-04,2.253,
2005-07,2.304,
2005-10,2.266,
2006-01,2.213,
2006-04,2.131,
2006-07,2.056,
2006-10,2.033,
2007-01,1.972,
2007-04,1.905,
2007-07,1.850,
2007-10,1.842,
2008-01,1.812,
2008-04,1.753,
2008-07,1.700,
2008-10,1.681,
2009-01,1.746,
2009-04,1.812,
2009-07,1.918,
2009-10,2.032,
2010-01,2.068,
2010-04,2.116,
2010-07,2.107,
2010-10,2.091,
2011-01,2.076,
2011-04,2.061,
2011-07,2.059,
2011-10,2.064,
2012-01,2.109,
2012-04,2.143,
2012-07,2.221,
2012-10,2.265,
2013-01,2.544,
2013-04,2.573,
2013-07,2.584,
2013-10,2.602,
2014-01,2.638,
2014-04,2.606,
2014-07,2.614,
